identifier,name,popularity,Wikipedia
2e8Q4niuEnfaz2S5BsrYlZ,Valentin P. Gapontsev,1,Valentin%20P.%20Gapontsev
2eEWYvXSsgHe5RnGIe0eFc,Jen-Hsun Huang,1,Jen-Hsun%20Huang
2f7AqqLedCzcU9d4BbPrPs,Andrew Puzder,28,Andrew%20Puzder
2flqszyuYl4f5jkrlIzyU2,Robert Blue Johnson,1,Robert%20Blue%20Johnson
2hEy2s9jGjndKT3IXk8vBC,Michael_Dell,1,Michael_Dell
2hyKveYvrqVesiQhTYXRFt,Larry Sonsini,14,Larry%20Sonsini
2iJbQG5kNk3eQwKVIJRspY,Brian Duperreault,22,Brian%20Duperreault
2iWExb6OwIpaXKwjscgLhC,Bruce Brown,71,Bruce%20Brown
2j5nG3KCCKgflC7xVfxdaV,James F. McCann,1,James%20F.%20McCann
2jGrQbHnpP8ca0gfSqyk6X,Masaru Hashimoto,12,Masaru%20Hashimoto
2kOpiXfuhzVb41O16N4ULm,Tom,1,Tom
2n2efNz03wndknrZtjcrHI,David MacLennan,1,David%20MacLennan
2nUB9lRjKabaw1taNPcXii,Matthew Ramsey,91,Matthew%20Ramsey
2njNbOXznsien67F27KspV,Willie Walsh,29,Willie%20Walsh
2ol6wlvzXY8d14illsStkp,Mark A. Clouse,1,Mark%20A.%20Clouse
2pGFn0DoxSIfmzfniFXsPP,R.Fisher,1,R.Fisher
2pKz3qMsZbcedX8gO96FDi,"Fisher, R. A.",3,Fisher%2C%20R.%20A.
2q7tYAWFjLOfJgMFeXSMGV,only child,1,only%20child
2qX4kRE6EfHamzibcCkMxN,Mr Lachlan Murdoch,1,Mr%20Lachlan%20Murdoch
2qj071l0SnFadO9FFnYwcC,Lawrence,2,Lawrence
2rDSvqe7hYzeZdA5RmDogE,Bill Ford,6,Bill%20Ford
2roDfX48BRXftP8SDDxF2R,"Chad O. Holliday, Jr.",1,Chad%20O.%20Holliday%2C%20Jr.
2rtZU9Q7KIGcpq7YdnaFNQ,Kumara Mangalam Birla,1,Kumara%20Mangalam%20Birla
2sQnZMOYiiMcRQMjaQaByB,Charles Hull,2,Charles%20Hull
2si5E2ctOrad299tExKbho,Richard A Baker,1,Richard%20A%20Baker
2vquMCiGJxlaxEbtvSLpwx,Carl_Douglas,1,Carl_Douglas
2w2pdV8x8tAaXNoWgLfix8,Henry,2,Henry
2w5MIYlfrgAda0ttqODxK3,Vincent McMahon,1,Vincent%20McMahon
2wuej5DaQw6d0S0MFgGKRE,Rupert Murdock,1,Rupert%20Murdock
2x1J528Tc2ObiNWtyEkVWR,John Elkann,84,John%20Elkann
2xFqrOWFCQPejkimAnrGX6,Howards,1,Howards
2xZz3s6x4aCaob9vGb7ADl,John Chen,11,John%20Chen
2xrQ21n6oD2fyKmchHuCXW,Chuck Schwab,1,Chuck%20Schwab
2yT3wWicm46dgWXwpuw2SN,Greg Hayes,3,Greg%20Hayes
2ynp2EQHR97ftF9AeJET7v,William C. Rhodes,2,William%20C.%20Rhodes
2zdczFGKD5Veavs6fgU5YI,Ronald_Sugar,1,Ronald_Sugar
30zs0vh14VSajXGkebswyT,Michelle Gass,5,Michelle%20Gass
31bNBKnrzS0cEMwSAHkDHT,Matthew Rose,2,Matthew%20Rose
31lfel3E7VodoZqlgXLYrg,Wren family,1,Wren%20family
32SdEPF5IhSfMFpVpNyJjx,Angus Russell,1,Angus%20Russell
32UGtb5PDQfeuobiEXIp36,Sheikh Ahmed Bin Saeed Al Maktoum,2,Sheikh%20Ahmed%20Bin%20Saeed%20Al%20Maktoum
344RNB0sQaXbWnZjDGljSj,Brian McNamee,31,Brian%20McNamee
34AtpWBkVT4b4E4Z7sqLup,Porsche’s,1,Porsche%E2%80%99s
34dwbTu5Z5VdQjGCVz8jZT,John Allan,4,John%20Allan
34wgH5JhKtqeGcsw4pblaN,Lennart Johansson,78,Lennart%20Johansson
35Ztg8JqrpsbwocSsUbs10,Jamie S. Gorelick,3,Jamie%20S.%20Gorelick
35galGOi71KfSHEjaicnpd,Mark Cuckerberg,1,Mark%20Cuckerberg
35uCcwy0HdhcCBVVYwt5ng,Brian_France,1,Brian_France
36VQWunhRBVbBNTxl4l5cl,Pankaj Patel,15,Pankaj%20Patel
36XyjsHbKbucKefX8vK83o,he raiseth up himself,1,he%20raiseth%20up%20himself
37WX68EpPbxb30KylaltUj,William S. Demchak,5,William%20S.%20Demchak
37qoX4VlX15dii1dF8X80Q,James A. Skinner,6,James%20A.%20Skinner
38AfVGcOmvleABoKQkr8zk,Vince McMahon,1559,Vince%20McMahon
38WVmWk9lsycxYsHpO7eD4,"Dan Schulman,",2,Dan%20Schulman%2C
396bkBKpUsnfyi4xOJF77c,Bill McDermott,23,Bill%20McDermott
39RwXG0JQ86fwQWA4xZZ1x,Carl Hahn,32,Carl%20Hahn
39cJEGQ0lZCcbkwcRsb7At,Raymond W. McDaniel Jr.,6,Raymond%20W.%20McDaniel%20Jr.
3CI9pI21Ep3bWu7kHFApPl,Richard Li's,1,Richard%20Li%27s
3CJz64qYx8bdiuEdIO6CYK,Ellen Alemany,11,Ellen%20Alemany
3CaGVzLi74pf5vQglIvdeV,Warren_Buffett,1,Warren_Buffett
3CddRuTK9gYbvsBkpGXc3u,Pichai,1,Pichai
3CjETKcqGTKdxeYgZzJHrX,Amazon,1,Amazon
3CvvwSJxOUDcO9pEatN5Qi,Thomas J. Pritzker,3,Thomas%20J.%20Pritzker
3DIW080kJr5f084qis94Lr,Sheryl Sandberg,189,Sheryl%20Sandberg
3EZkcLuvQu6bkvFt4vBKoH,Alan McKim,4,Alan%20McKim
3G0oUTkLGlqeilIJlJlTlT,Steve Lacy,2,Steve%20Lacy
3GaJ58lK7s7fZDXIemkzKu,Randa Williams,6,Randa%20Williams
3H2dwbOUCa3d5OjOjZFG5I,"Li, Richard",1,Li%2C%20Richard
3HeCqIQgJ9LbBIOH9eB11k,Helge Lund,27,Helge%20Lund
3HeaHq7FzHtcTPxWqboPj7,Schon  &  Hammer,1,Schon%20%20%26%20%20Hammer
3JEUlgHJWkobO1DmAMHHib,"Levesque, Paul",1,Levesque%2C%20Paul
3JTygE5pdPoanYQrHjKJdU,Risa Lavizzo-Mourey,22,Risa%20Lavizzo-Mourey
3JzLE3NLOlzdnupwIOR9hr,Compact Video,1,Compact%20Video
3JzuFMLzOVZdtqPPiOG5ul,Greg Maffei,13,Greg%20Maffei
3K8707bNlPDbQ1UhXb7UIF,Robert Thomson (executive),5,Robert%20Thomson%20%28executive%29
3KPHDZDppv4ef1JE07GeSZ,Nance Dicciani,5,Nance%20Dicciani
3KalA8fjaUNcmxgnr44mLk,Tata,1,Tata
3LjvmNtfNlKeZfu08kuwNU,David M. Rubenstein,7,David%20M.%20Rubenstein
3LlXml9HmnWdBSND26SmBl,Deere  &  Webber Company,2,Deere%20%20%26%20%20Webber%20Company
3NCGUZQl74GeguskNVoeNi,Paula Amorim,8,Paula%20Amorim
3NQ6lw0uyPzdAmiRFiCtyP,Gustavo and Patty Cisneros,1,Gustavo%20and%20Patty%20Cisneros
3Ne3YzS58kcaYUib05e1KC,Zahi Khouri,7,Zahi%20Khouri
3Nmj738nYJcdQmEy7GKL2j,Daniel Schulman,1,Daniel%20Schulman
3O6bpvfeBv0ez9qVGn1XMG,Eric Martel,8,Eric%20Martel
3P3citF3hxndklmEYQUoM6,Barry Sterlicht,1,Barry%20Sterlicht
3PeAhra7spVbHghpIlVvnE,Love is Pain,1,Love%20is%20Pain
3PiDuDlFbp7bQfRiFm51zy,Kantor,2,Kantor
3Pu84YRzILCetpFiyiMJej,Reed_Hastings,1,Reed_Hastings
3Q8DX9IwulScHhGG1BWxtk,R.A.Fisher,1,R.A.Fisher
3QACZrEPAKTdPER2E3M6KT,first CEO of the freshly privatized Renault,1,first%20CEO%20of%20the%20freshly%20privatized%20Renault
3RlCuSEzaR1f43mLRXsQOH,Michael Manley,1,Michael%20Manley
3SdttenwibMe42Rph0gwuU,John McFarlane,26,John%20McFarlane
3Un4m1BRRBebUtjf48pnc2,"Rice, C.",3,Rice%2C%20C.
3VBMZOGcZgWeWpwu9RfkHL,Stephen_A._Schwarzman,1,Stephen_A._Schwarzman
3VmSheYBdRYe5Whsbe7sAd,Rick Haythornthwaite,2,Rick%20Haythornthwaite
3W9OAdyUi7AalOJd72cZ2C,Itō Masatoshi,1,It%C5%8D%20Masatoshi
3WEFNCnUKUOdOSp8uvBO7k,Paul Walker,5,Paul%20Walker
3WsInwdjr52biXUMLiRKLg,'''V'''incent '''K'''ennedy McMahon,1,%27%27%27V%27%27%27incent%20%27%27%27K%27%27%27ennedy%20McMahon
3X70eBMLaLOfoG5xLpbGsI,Shifting Gears Productions,1,Shifting%20Gears%20Productions
3XzKFMBP5i3dGB53JrsrCq,Bruce D. Broussard,5,Bruce%20D.%20Broussard
3Y162RnmIjfcDze9GKd1Nt,Barry Diller,255,Barry%20Diller
3YpYYoMOVPAes2UC4J4bX2,Condoleeza,1,Condoleeza
3ZJ2vWIsJpVc95E4TE3vAV,Lakshmi Mittal,167,Lakshmi%20Mittal
3aQ0Gw7DdTFblvJdhl3PIp,Blake microphones,1,Blake%20microphones
3allSVCguibb6SpMCROzwi,Gondola,1,Gondola
3bFMMTJ2ufQcBUuFPHu05G,Sir Lucian Grainge,1,Sir%20Lucian%20Grainge
3bQBLOJi8pPfV8fLkk0XJO,Feike Sijbesma,6,Feike%20Sijbesma
3boGk5y18rYbB6nH8hNBmi,Rich Barton,22,Rich%20Barton
3cCTQAGu4hQe8qmw01tfXt,Elizabeth Blomfield Bryan,1,Elizabeth%20Blomfield%20Bryan
3d254I7RPRed7taQFCvJT7,Captain James Lawrence,1,Captain%20James%20Lawrence
3dY02JaT3HndqVmxwP1TQC,Gerard Kleisterlee,14,Gerard%20Kleisterlee
3dYk9mYerXMfdnYRuD4xgc,straight white man,1,straight%20white%20man
3eexXFhumvTfCKpRqDRuLM,Simon Roberts (businessman),1,Simon%20Roberts%20%28businessman%29
3eylwSMQzP5epTUUHmZz6f,12 Tone,2,12%20Tone
3fA6UoTNJaVeY7zCqtpyVM,Porsche,12,Porsche
3fSIXRD7VvZbykqKGARY5N,former UEFA president,1,former%20UEFA%20president
3harWE7wcXodvWawbIFuht,Jon Feltheimer,39,Jon%20Feltheimer
3htmAPkMYknfIfAcgBaQi9,Robin Li Yanhong,1,Robin%20Li%20Yanhong
3iMSmlwkqxFfUxR8zvOWfg,Vince McMahon Jr.,5,Vince%20McMahon%20Jr.
3kTzrcfwKC8eeEYmIKenVl,Azim Premji,98,Azim%20Premji
3kWFt3K6ca2bgh3jE3sDQQ,Rice,12,Rice
3l9gAWhptyHbNZalu9EGdm,Arkady Volozh,22,Arkady%20Volozh
3m4P4W1DbkKfqwrcjtDB1i,Ralph Michael,113,Ralph%20Michael
3m7OaJ0AYXTasVktZMTNg3,William M. Brown (businessman),2,William%20M.%20Brown%20%28businessman%29
3mSKgOmnqU5d9q5yEsCUWL,Bradley S. Jacobs,26,Bradley%20S.%20Jacobs
3mX6csdE9UQbZFFUZZL5Gw,Delfin S.a.r.l.,1,Delfin%20S.a.r.l.
3mcKGNfbrfgd3y6CI4OGn3,John Williams and The Boston Pops Orchestra,1,John%20Williams%20and%20The%20Boston%20Pops%20Orchestra
3oLASRGOYKUeoAnld6qD23,L. Page,1,L.%20Page
3oT5cCQgq3icugSgehldWA,Judy Lewent,9,Judy%20Lewent
3oelRaDYXaYdfjcey3Ar5i,Jeffrey P. Bezos,3,Jeffrey%20P.%20Bezos
3pNU5yQev3macZXkyZf3U1,Randa Duncan Williams,4,Randa%20Duncan%20Williams
3qm2cA08D9xako2M1QIKvr,Ted Sarandos,78,Ted%20Sarandos
3rKmvngEBBae0llAIviOrP,Jay S. Hennick,5,Jay%20S.%20Hennick
3rje2nuX2AofbFI3MGzQAr,Mickey Kantor,54,Mickey%20Kantor
3sF57vzX34fbikVH3moBsp,Bernard Arnault's,1,Bernard%20Arnault%27s
3sG26pyr8hoedSQZnHYOkI,Jeff Weiner,21,Jeff%20Weiner
3tUZkihTqNWc47ZhSNElIm,C. Douglas,1,C.%20Douglas
3uQgUdXOIiIdLBjcSTYYYt,"Wolfgang Reitzle (Chairman of the Executive Board, Linde AG)",1,Wolfgang%20Reitzle%20%28Chairman%20of%20the%20Executive%20Board%2C%20Linde%20AG%29
3ugspZnRzCTeCAaAgfeJWu,Roberto Quarta,5,Roberto%20Quarta
3vtkc6m7lsJclri2p7A4HP,"Vink, Karel",1,Vink%2C%20Karel
3vyxpaA1WH3bYDy8OANujd,Robert J. McCann,5,Robert%20J.%20McCann
3wIjzvHgku7cj3nQZP0vF4,Herb Boyer,1,Herb%20Boyer
3wMCAWKqlU9bBYwBawOVw0,Henry McGee,68,Henry%20McGee
3x67K74vFHlfVrjLL4wPbz,Sumner Redstone,157,Sumner%20Redstone
3xJKUCSkwEPb8OuNN4NRlR,"Thiel, Peter",1,Thiel%2C%20Peter
3xKPdNplzOpbJIKGOsqB8j,John Wren's,1,John%20Wren%27s
3yN4m7zYZ0AdkuMPCl8bvi,Henri Poupart-Lafarge,3,Henri%20Poupart-Lafarge
3z5TKjMgXzefpJ4uxmCtym,Rakesh_Jain,1,Rakesh_Jain
3zZsti0c7NUeUJF37vtxHQ,Mickey_Kantor,1,Mickey_Kantor
3zr752b72dYb5YIu134i7J,Dempsey,181,Dempsey
3zxNsi9YowPf7T9Omt0OhT,Mark Thompson,60,Mark%20Thompson
40Y1g51xIXOesYxhZE2OuT,Mark Parrish,76,Mark%20Parrish
40ikk7ugqHbfVRKt7a4qzx,Edsel Ford I,4,Edsel%20Ford%20I
41QgBqPUDeHbpIWKYOejVJ," < span class= "" nowrap "" > Triple H < /span > ",1,%20%3C%20span%20class%3D%20%22%20nowrap%20%22%20%3E%20Triple%20H%20%3C%20/span%20%3E%20
41nC42ToT6CecWc0WchvuU,Energy,1,Energy
4226DsMru90czAC0VNocNZ,Patrick Walsh (investor),4,Patrick%20Walsh%20%28investor%29
42MoOTK5h8FfLqFJ4bc8lJ,Congdon,1,Congdon
42NLzC3AKQQdTZaGfTVUoP,Webster,16,Webster
43eh5rfoNaQdI3i3VRkZQe,Arthur Sulzberger,1,Arthur%20Sulzberger
464iq7RmhTeeb2s4JveygK,Steve Schwartz,1,Steve%20Schwartz
4690teoiexpe4A8T91iQ1i,"Stoppelman, Jeremy",1,Stoppelman%2C%20Jeremy
46Xqy2WeQAUdqN7fnAc2is,U.S. Secretary of State Condoleezza Rice,1,U.S.%20Secretary%20of%20State%20Condoleezza%20Rice
48PCi2jLyiYdCF9xU03QOp,Redmond family,1,Redmond%20family
48REOSaLrXSbAE6ijtEDIa,Phebe Novakovic,19,Phebe%20Novakovic
4A5bKOFZKLCbYj8D0mdN8L,Ann Livermore,4,Ann%20Livermore
4B7jOsNsZFqdRR5bvmBmGn,Catherine Brighid Livingstone,2,Catherine%20Brighid%20Livingstone
4BqzbKTTIDLcYZD2WE6ar3,Stephen Cooper,10,Stephen%20Cooper
4DC2gxP11C5cW1FWnvkmaf,Vice Admiral Richard Carmona,1,Vice%20Admiral%20Richard%20Carmona
4E0I9uf6cIYe4vxvBb3Xso,Isadore Sharp,30,Isadore%20Sharp
4EwYnqDV0tpeA4LUIgPOPg,Yang Yuanqing,19,Yang%20Yuanqing
4FInStA8MlnbigSTawjUfE,Anton Siluanov,48,Anton%20Siluanov
4FiaokIx8IVfZKZzAliKEh,Tan Sri Tony Fernandes,2,Tan%20Sri%20Tony%20Fernandes
4GPLoSJjkBtcYbymQVcGhK,Ian Edward Lamert Davis,1,Ian%20Edward%20Lamert%20Davis
4HmB2Mg64gHbjkrpjYo0AM,Jean-Pierre Clamadieu,12,Jean-Pierre%20Clamadieu
4HxKzzDFrwLefuzpXaeXp2,"Baron '''Wolfson of Aspley Guise''', ''of Aspley Guise in the County of Bedfordshire''",1,Baron%20%27%27%27Wolfson%20of%20Aspley%20Guise%27%27%27%2C%20%27%27of%20Aspley%20Guise%20in%20the%20County%20of%20Bedfordshire%27%27
4IA0OhpV58Mf7dohD5Dxbp,Jim Crown,1,Jim%20Crown
4KB2LZPHa93cjz65QzFWYW,John Williams,2940,John%20Williams
4KBxqNBmDn6cRCQbKGgHB8,Sir Alan Parker,17,Sir%20Alan%20Parker
4KZoXuAHUNjbKEkeiT9jxf,William Albrecht,12,William%20Albrecht
4LHwfKlGSPEfqGqS1J6360,McGrady,2,McGrady
4LI5L24wmq1dioHjbBQ4Vt,Ian Read,18,Ian%20Read
4MLo2bUXfXHeNxzC1ecfj2,Thomas,3,Thomas
4MM7NdoneiXeTiMYfiaSvr,Ian Powell,1,Ian%20Powell
4Mq3534Lmi1bg0cElUc6H5,Stephanie McMahon-Helmsley,23,Stephanie%20McMahon-Helmsley
4MyVFwZX0DyboAgTVeLZBG,"Ms Catherine Livingstone, AO",1,Ms%20Catherine%20Livingstone%2C%20AO
4NpooytzSnxd2RPSvqHpUj,Ferdinand Porsche,311,Ferdinand%20Porsche
4O7SFJaeasUaw6SloYEOFo,Heather,1,Heather
4OLsIswSWhubcnJ31P2E4O,Roy Gardner,5,Roy%20Gardner
4P3tbx7NzctbSQHIZ17YMo,Finn Rausing,7,Finn%20Rausing
4PAvfZWuQjicIlroIPyUd6,Andersen,12,Andersen
4PHH8nUO0U7biTHr2pV7j1,Redstone,1,Redstone
4PbZkq7BplXdGjpjtqVVHr,Harold W. McGraw III,2,Harold%20W.%20McGraw%20III
4PurjLodN2BemEH5MgJZXW,"Nilekani, Nandan",2,Nilekani%2C%20Nandan
4QEnaWweZNnehm9TSWyB2D,Anne_M._Mulcahy,1,Anne_M._Mulcahy
4QOgmFyrwzgdWP3ApHIopT,Sharples,1,Sharples
4Qtpj7v1oOHf3v2UP15ldZ,Kelcy L. Warren,1,Kelcy%20L.%20Warren
4QvGSZMF6REc5ZImHRpWhU,Mike Henry,1,Mike%20Henry
4RFATY2kUSQbeacAoXNQfk,RUPERT MURDOCH,1,RUPERT%20MURDOCH
4RR5cCAg2XxduHTpl0Jbxf,Alan Joyce (executive),8,Alan%20Joyce%20%28executive%29
4RtBrxOhukRdcHDlb0iOqK,Howard Davies (economist),3,Howard%20Davies%20%28economist%29
4RxnSgXSUPhbnmTMNeY7W0,Mr. Kumar Mangalam Birla,1,Mr.%20Kumar%20Mangalam%20Birla
4SAKB4RK0OLf4TQmbATZed,Hikmet Ersek,8,Hikmet%20Ersek
4SLImodBuKNe5E3h7rypHp,"Jeffrey W. Ubben, Founder, Portfolio Manager, and Managing Partner, Inclusive Capital Partners, L.P.",1,Jeffrey%20W.%20Ubben%2C%20Founder%2C%20Portfolio%20Manager%2C%20and%20Managing%20Partner%2C%20Inclusive%20Capital%20Partners%2C%20L.P.
4SUU1LQJyQbcfC2wqfhYkA,Francesco Starace,5,Francesco%20Starace
4SnsOtWinaTbfBXQYNVi4G,Greg Garland,3,Greg%20Garland
4Svq8u2bKptciAzz7Z9YK9,Moglia,2,Moglia
4U5NmMXhdVxflYly5etOpR,Leon Levine,21,Leon%20Levine
4UCkjEu9Jx0bzqsZDsxLen,Lawrence (Larry) J. Ellison,1,Lawrence%20%28Larry%29%20J.%20Ellison
4UJJ77MipPMafz2Le8M8MW,Adam Aron,20,Adam%20Aron
4UwcAsDzWxHfzDmE8H0TJt,Elon Musk’s,1,Elon%20Musk%E2%80%99s
4V5t5zEMNGEeXOj0YXFanf,Dave Duffield,1,Dave%20Duffield
4ViChiQdntJcof43ldnz4z,Gail Wilensky,9,Gail%20Wilensky
4WFLrU9U90lexIQtvPIQwj,Anne Finucane,9,Anne%20Finucane
4WptgVfZ3tobbxDiyoLKDw,Dame Carolyn McCall,1,Dame%20Carolyn%20McCall
4WwSpuIZxD5ethuyLzmcOu,Henry Kravis’s,1,Henry%20Kravis%E2%80%99s
4XOWlqcre8xb5NXwD63V0P,Elon,5,Elon
4XhEWhdweBfbxFgxNIs10n,Walsh,80,Walsh
4Y28cLW4vfxbzizICWM0ia,Sir Len Blavatnik,4,Sir%20Len%20Blavatnik
4Y3Aw2lZo4ye9q2r5faZ9W,Michael McGarry,26,Michael%20McGarry
4YLDKJTdIaDddHoexrZ2rT,John W. Thompson,32,John%20W.%20Thompson
4Z3Aa1AM5SwbeXvarda3Kj,Mr JE Redmond,1,Mr%20JE%20Redmond
4ZLgCOelphPcelzbxO2Sjb,Richard A. Baker,6,Richard%20A.%20Baker
4aC3MWX2HefcRKhkd4B1EP,David Congdon,16,David%20Congdon
4ah33jeTW1udwDrysexyVj,Mark Rachesky,7,Mark%20Rachesky
4b6XZTOXFDJcXi4gQvMwE5,John_W._Thompson,1,John_W._Thompson
4bwx4F8a4hOcxONTqqd0Ck,Alex Gorsky,24,Alex%20Gorsky
4c67MJA8UhOat6ejbQsjFR,Paul Pressler,26,Paul%20Pressler
4cVppwyFpGufvKeCVNAMVr,David Abney,11,David%20Abney
4gI7iMh1zmLfSwHAPmNCGJ,Robin Li,59,Robin%20Li
4gZys7wRWDTbsWEa6RRow7,the owner,1,the%20owner
4hBdnoicKdqd4EovRlj3j5,Johansson,1,Johansson
4hFNNKMq0IdfrDEZc7m55Y,Heather_Munroe-Blum,1,Heather_Munroe-Blum
4hIV7VVbqGRc755PO5MRKj,John Edward Caldwell,1,John%20Edward%20Caldwell
4i7XBx9XejZarqoPIouBvq,Secretary Rice's,1,Secretary%20Rice%27s
4iIiC8mEyU6bexQFJhpd04,Kazuo Inamori,48,Kazuo%20Inamori
4ifjoiiqG7lbOb9Pho3ryz,Noel Quinn,9,Noel%20Quinn
4iyeGjbo3asfv4qRHLfCEi,McGarry (?),1,McGarry%20%28%3F%29
4kM8LddY84qc9Uymh3R4pR,Bertrand Camus,2,Bertrand%20Camus
4kn1kWd04KmcZrS3RmP27F,Nelson Chai,15,Nelson%20Chai
4mXvGBRIBGAbboY7nh5gcV,Toby Cosgrove,14,Toby%20Cosgrove
4mfaL10B9mlbeOpCtxPSNw,Keith Barr,4,Keith%20Barr
4oD1l0waLcMb0vzrNaezbK,Francis A. deSouza,1,Francis%20A.%20deSouza
4pbUUSzSS5ZaeZ7DRlBnYd,Satoru Shibata,4,Satoru%20Shibata
4ppdYyEAfLjbf3Bq0dPZ5o,James Foster,1,James%20Foster
4puyNCov2BpecfXwdQxymW,Kevin Chen,33,Kevin%20Chen
4qiRjre8qkLfubce3hIfsV,Nolan D. Archibald,11,Nolan%20D.%20Archibald
4qniT2NWvljbtktWFs8t34,Kevin Plank,58,Kevin%20Plank
4quQldgACykdgm8SNOzc3c,Roger Krone,7,Roger%20Krone
4rKhbF7XpyDfrB8seSXXMN,the Chairman,1,the%20Chairman
4rTmPjSHA8Fd9UMzkEgNnP,Peter Theil,1,Peter%20Theil
4rjPiitM4t7ap0pCrhDDXH,Liv Garfield,6,Liv%20Garfield
4s1AWZVPROndcrsPOlJjvh,Margaret Keane,2,Margaret%20Keane
4sDBzzbUgqrc5gRUmYoQDL,Triple H,2375,Triple%20H
4tHnb7f2dWOfojFFLWTcV7,Richard A. Lerner,2,Richard%20A.%20Lerner
4tUytumZCbteQSqGRYxwNm,C. Morrison,1,C.%20Morrison
4tfH7xv3ffTaoiXowGQMIC,Johan Lundgren,7,Johan%20Lundgren
4u4Codmg8QVfTHAcakFcWK,Alan Schnitzer,2,Alan%20Schnitzer
4uZjOK3W15Ffe1WGFJ9v5G,Robert MacLeod,9,Robert%20MacLeod
4vP4KeE2ejMcVRz3IpwU6t,Bernard_Arnault,1,Bernard_Arnault
4vVhjovSQO6dgIXTwx7hIq,Hammer,5,Hammer
4vtdr5Q23sJdTN67TZCIjR,Jean-Paul Levesque,5,Jean-Paul%20Levesque
4w1pDrK6IDYcBoDJe6M3Ee,Jeffrey Bezos,1,Jeffrey%20Bezos
4wQEbRglrXOebaPrlsYMmn,Condoleezza_Rice,5,Condoleezza_Rice
4x8eYDF4tSHcTEKr7olMrd,Scott Cook,20,Scott%20Cook
4y5fbsTkAZnc5rhMT2r4rF,Steven Allen Schwarzman,1,Steven%20Allen%20Schwarzman
4yBnTsaWcmTdAIoJxOBu7i,Michel Rollier,7,Michel%20Rollier
4ydrunVFpF1aZEPBkdoEKj,Michael Cooper,274,Michael%20Cooper
51MAfc60eeIbVloZBxCkMt,"Douglas M. Baker, Jr.",1,Douglas%20M.%20Baker%2C%20Jr.
52VCyvGzUrhcPC8XPOEBJL,Dr. Dieter Zetsche,1,Dr.%20Dieter%20Zetsche
532I0SdJITRdV5m0sRf1MV,"Paul Levesque ( "" Triple H "" )",2,Paul%20Levesque%20%28%20%22%20Triple%20H%20%22%20%29
54SFizpYPMadgc6Av6wXfm,Alan Jope,6,Alan%20Jope
54U4lxid29lfai10zd1fFf,George Yancopoulos,14,George%20Yancopoulos
54gKJaBexEYcD22uW5TzOQ,Randall Stephenson,5,Randall%20Stephenson
55Z4HBAPVeIayTA2j7JEou,Hunter Hearst Helmsley,82,Hunter%20Hearst%20Helmsley
59LKSQUJd3fdiu7RoCuCLJ,His Highness Ahmed bin Saeed Al Maktoum,1,His%20Highness%20Ahmed%20bin%20Saeed%20Al%20Maktoum
59S7fyQ57ehcV621K6zZbw,Ivan Menezes,16,Ivan%20Menezes
5AcNQVLuhb9cqo7aBTpv3w,Angela Ahrendts,31,Angela%20Ahrendts
5BaCvu12TGjfdBwWTxqdso,William C. Rhodes (businessman),1,William%20C.%20Rhodes%20%28businessman%29
5BsUlMMfFlYcEkaR0PDnpZ,Simon Wolfson,26,Simon%20Wolfson
5D3Np4Ui2DRfwuIbPEfdaC,Karl-Ludwig Kley,12,Karl-Ludwig%20Kley
5Du3LYmGIg2f26pNQpIhoE,Laxmi niwas Mittal,1,Laxmi%20niwas%20Mittal
5EgWWfNroozfp0NAxCyGek,Jeroen van der Veer,31,Jeroen%20van%20der%20Veer
5ElMgxbm6tCewMaeSfkhT4,Dan Amos,8,Dan%20Amos
5Fk644fCdtWbQ1pSywsRVQ,Baron Norman Blackwell,1,Baron%20Norman%20Blackwell
5GvsZpuZRFUbotazkCPO4B,Tracy Britt Cool,6,Tracy%20Britt%20Cool
5Gx9fjTrpIYbccRsb6ynI6,MSD Partners,1,MSD%20Partners
5IWCT33MtP4eMbf8kudDpD,James P. Gorman,26,James%20P.%20Gorman
5IjLTdtas0Ec66CqfO4wxD,Ronald & nbsp;A. Fisher,2,Ronald%20%26%20nbsp%3BA.%20Fisher
5IzZCRVfmY4bmKEAF9CaOm,Saudi ARAMCO,1,Saudi%20ARAMCO
5JuApqrvNZXe1gvR9DvmEG,Terry Duffy,1,Terry%20Duffy
5JvSNnUtATPeceAZtuP0O6,CEO Sundar Pichai,1,CEO%20Sundar%20Pichai
5LMdkzBItOOe1QMf18gI87,Mr P. L. Bazalgette,1,Mr%20P.%20L.%20Bazalgette
5Lp3cMD61aHfY5Y8ENfOQY,Murdochisation,1,Murdochisation
5M90kzEIAkodIyvozehJU0,Severin Schwan,9,Severin%20Schwan
5MLSEPdmerrbOXDBj2eg8w,Gale E. Klappa,2,Gale%20E.%20Klappa
5MQOF9dbR6Jf2lSZa5lhPF, Henry A. McKinnell,1,%C2%A0Henry%20A.%20McKinnell
5Moxm8SChnRfwNwoXCZIPa,Richard Dana Fairbank,1,Richard%20Dana%20Fairbank
5MxSbTIYpqMcJyWD7BnlQi,Vicki Sato,2,Vicki%20Sato
5OqIkPDLgrGcyrxYLAit8c,Herbert Simon (real estate),5,Herbert%20Simon%20%28real%20estate%29
5PhH5j5hMBGbx28TtE2Ubw,MSD Holdings,1,MSD%20Holdings
5PsQbx8WUlOeqwjwmnLQQE,Kevin Knight,12,Kevin%20Knight
5QkfnEu5gBpddZyI9nqJed,Ted Leonsis,158,Ted%20Leonsis
