keyword,caption_name,topic_id,entity_type,threshold,groups,Paired term,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
series a,Series A funding round,188178;188310,funding Round,general.alert3,,,FundingRound,Series A funding round,,dgm_vcstartup_terms,70d057863a81520396591038848e2a4f,dgm_vcstartup_terms__70d057863a81520396591038848e2a4f
series aa,Series AA funding round,188178;188311,funding Round,general.alert3,,,FundingRound,Series AA funding round,,dgm_vcstartup_terms,57cdf8a616b908a13f7b1d2b4b73e1a7,dgm_vcstartup_terms__57cdf8a616b908a13f7b1d2b4b73e1a7
series b,Series B funding round,188178;188312,funding Round,general.alert3,,,FundingRound,Series B funding round,,dgm_vcstartup_terms,98cd20cda5b88ebfa1d688f50c5e1cbb,dgm_vcstartup_terms__98cd20cda5b88ebfa1d688f50c5e1cbb
series bb,Series BB funding round,188178;188313,funding Round,general.alert3,,,FundingRound,Series BB funding round,,dgm_vcstartup_terms,5c484808a42a770b5a08edefdddcb4bf,dgm_vcstartup_terms__5c484808a42a770b5a08edefdddcb4bf
series c,Series C funding round,188178;188314,funding Round,general.alert3,,,FundingRound,Series C funding round,,dgm_vcstartup_terms,c761428690069c0657f36724c745cdb3,dgm_vcstartup_terms__c761428690069c0657f36724c745cdb3
series cc,Series CC funding round,188178;188315,funding Round,general.alert3,,,FundingRound,Series CC funding round,,dgm_vcstartup_terms,50596931d65e99b0afa27f430c31e955,dgm_vcstartup_terms__50596931d65e99b0afa27f430c31e955
mezzanine finance round,mezzanine finance round,188178;188316,funding Round,general.alert3,,(venture; vc; startup),FundingRound,mezzanine finance round,,dgm_vcstartup_terms,a211881c52c6daa43bf8bc3504247b62,dgm_vcstartup_terms__a211881c52c6daa43bf8bc3504247b62
(mezzanine finance round; venture),mezzanine finance round,188178;188316,funding Round,general.alert3,,(venture; vc; startup),FundingRound,mezzanine finance round,,dgm_vcstartup_terms,40287df5831defbea9b1819d8a143201,dgm_vcstartup_terms__40287df5831defbea9b1819d8a143201
(mezzanine finance round; startup),mezzanine finance round,188178;188316,funding Round,general.alert3,,(venture; vc; startup),FundingRound,mezzanine finance round,,dgm_vcstartup_terms,f362a628144dc95195af0fb8f2193fd4,dgm_vcstartup_terms__f362a628144dc95195af0fb8f2193fd4
(mezzanine finance round; vc),mezzanine finance round,188178;188316,funding Round,general.alert3,,(venture; vc; startup),FundingRound,mezzanine finance round,,dgm_vcstartup_terms,36055bd6a03ded60fb3408263c93631e,dgm_vcstartup_terms__36055bd6a03ded60fb3408263c93631e
(mezzanine finance round; technology),mezzanine finance round,188178;188316,funding Round,general.alert3,,(venture; vc; startup),FundingRound,mezzanine finance round,,dgm_vcstartup_terms,11d0689caa160b1779529dd1ffdc6a27,dgm_vcstartup_terms__11d0689caa160b1779529dd1ffdc6a27
bridge loans,bridge loans,188178;188317,funding Round,general.alert3,,(venture; vc; startup),FundingRound,bridge loans,,dgm_vcstartup_terms,28cdc90b68a5382c3bea176f0d848c6b,dgm_vcstartup_terms__28cdc90b68a5382c3bea176f0d848c6b
(bridge loans; venture),bridge loans,188178;188317,funding Round,general.alert3,,(venture; vc; startup),FundingRound,bridge loans,,dgm_vcstartup_terms,a0c2fe04ff0c3c616286bb4dafc6135a,dgm_vcstartup_terms__a0c2fe04ff0c3c616286bb4dafc6135a
(bridge loans; startup),bridge loans,188178;188317,funding Round,general.alert3,,(venture; vc; startup),FundingRound,bridge loans,,dgm_vcstartup_terms,e36aaf6c6d60626181cc206d2c018542,dgm_vcstartup_terms__e36aaf6c6d60626181cc206d2c018542
(bridge loans; vc),bridge loans,188178;188317,funding Round,general.alert3,,(venture; vc; startup),FundingRound,bridge loans,,dgm_vcstartup_terms,543551113bdeb79dd95d5e8d28e184c3,dgm_vcstartup_terms__543551113bdeb79dd95d5e8d28e184c3
(bridge loans; technology),bridge loans,188178;188317,funding Round,general.alert3,,(venture; vc; startup),FundingRound,bridge loans,,dgm_vcstartup_terms,f5c13018ab6478fdf8728a36b558840e,dgm_vcstartup_terms__f5c13018ab6478fdf8728a36b558840e
series seed,series seed funding round,188178;188318,funding Round,general.alert3,,,FundingRound,series seed funding round,,dgm_vcstartup_terms,c200f1a0aec761467ffb0b8dadc3d9c1,dgm_vcstartup_terms__c200f1a0aec761467ffb0b8dadc3d9c1
venture round,venture round,188178;188319,funding Round,general.alert3,,,FundingRound,venture round,,dgm_vcstartup_terms,05a222a706eef1ab5f1731e4579c4b8a,dgm_vcstartup_terms__05a222a706eef1ab5f1731e4579c4b8a
signed term sheet,signed term sheet,188178;188320,funding Round,general.alert3,,,FundingRound,signed term sheet,,dgm_vcstartup_terms,528e4ba445485be6471e07e3003f1c14,dgm_vcstartup_terms__528e4ba445485be6471e07e3003f1c14
posivite covenants,posivite covenants,188178;188321,funding Round,general.alert3,,,FundingRound,posivite covenants,,dgm_vcstartup_terms,5ae711fb31e30790d8db702a0d0d013b,dgm_vcstartup_terms__5ae711fb31e30790d8db702a0d0d013b
piggyback investors,piggyback investors,188178;188322,funding Round,general.alert3,,,FundingRound,piggyback investors,,dgm_vcstartup_terms,9c5aada1514fe50bc5e7442dea1833a2,dgm_vcstartup_terms__9c5aada1514fe50bc5e7442dea1833a2
(robotics; venture),robotics,188178;188323,Startups,general.alert3,,(venture; vc; startup),Startups,robotics,,dgm_vcstartup_terms,1be9174769a58e77f3f7c767f32360b7,dgm_vcstartup_terms__1be9174769a58e77f3f7c767f32360b7
(robotics; startup),robotics,188178;188323,Startups,general.alert3,,(venture; vc; startup),Startups,robotics,,dgm_vcstartup_terms,4f1c8625607703b983c21bf6cf74e735,dgm_vcstartup_terms__4f1c8625607703b983c21bf6cf74e735
(robotics; vc),robotics,188178;188323,Startups,general.alert3,,(venture; vc; startup),Startups,robotics,,dgm_vcstartup_terms,861e5dd6cf62a1b67bc0a79dff9bda7b,dgm_vcstartup_terms__861e5dd6cf62a1b67bc0a79dff9bda7b
(robotics; technology),robotics,188178;188323,Startups,general.alert3,,(venture; vc; startup),Startups,robotics,,dgm_vcstartup_terms,5bbd92c84075bb3dacec2741029db841,dgm_vcstartup_terms__5bbd92c84075bb3dacec2741029db841
(funding; venture),funding,188178;188325,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,a75fb04d49076378a1c49a6916eeafaf,dgm_vcstartup_terms__a75fb04d49076378a1c49a6916eeafaf
(funding; startup),funding,188178;188325,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,4ce87d82cab7a5c30d28c3fdc250bc2a,dgm_vcstartup_terms__4ce87d82cab7a5c30d28c3fdc250bc2a
(funding; vc),funding,188178;188325,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,99f865af0b2f1071e27564b0340b32b0,dgm_vcstartup_terms__99f865af0b2f1071e27564b0340b32b0
(funding; technology),funding,188178;188325,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,bcf03e8ffea0a14b122dfeefcea37899,dgm_vcstartup_terms__bcf03e8ffea0a14b122dfeefcea37899
(seed round; venture),funding,188178;188324,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,51f2871703718d35a42b549f44fe4f83,dgm_vcstartup_terms__51f2871703718d35a42b549f44fe4f83
(seed round; startup),funding,188178;188325,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,35e720588e2352573e1dd689f143502a,dgm_vcstartup_terms__35e720588e2352573e1dd689f143502a
(seed round; vc),funding,188178;188326,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,dbe71d0186b97544cf745b4d69cedcff,dgm_vcstartup_terms__dbe71d0186b97544cf745b4d69cedcff
(seed round; technology),funding,188178;188327,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,4712d7b2ccca50bdb28404f457ca197f,dgm_vcstartup_terms__4712d7b2ccca50bdb28404f457ca197f
(seed round; tech),funding,188178;188328,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,4e5fd47dddbff7394a744c564febbb95,dgm_vcstartup_terms__4e5fd47dddbff7394a744c564febbb95
(seed round; investment),funding,188178;188328,funding Round,general.alert3,,(venture; vc; startup),FundingRound,funding,,dgm_vcstartup_terms,c1bba9d819de9b31e793f1da77452e86,dgm_vcstartup_terms__c1bba9d819de9b31e793f1da77452e86
(platform; venture),platform,188178;188326,Startups,general.alert3,,(venture; vc; startup),Startups,platform,,dgm_vcstartup_terms,b16189990107ec33fff14ca8b3d77828,dgm_vcstartup_terms__b16189990107ec33fff14ca8b3d77828
(platform; startup),platform,188178;188326,Startups,general.alert3,,(venture; vc; startup),Startups,platform,,dgm_vcstartup_terms,4f866e8fd5fe3ddad0d18841f6a9a6ad,dgm_vcstartup_terms__4f866e8fd5fe3ddad0d18841f6a9a6ad
(platform; vc),platform,188178;188326,Startups,general.alert3,,(venture; vc; startup),Startups,platform,,dgm_vcstartup_terms,7f52c73659d3cb6a0be9224817d04b59,dgm_vcstartup_terms__7f52c73659d3cb6a0be9224817d04b59
(platform; technology),platform,188178;188326,Startups,general.alert3,,(venture; vc; startup),Startups,platform,,dgm_vcstartup_terms,f8aeb2ec1007f479c7d10ca692b7d299,dgm_vcstartup_terms__f8aeb2ec1007f479c7d10ca692b7d299
(services; venture),services,188233;188202,Startups,general.alert3,,(venture; vc; startup),Startups,services,,dgm_vcstartup_terms,0a44237973daf68b69bbc80d0e5d94a8,dgm_vcstartup_terms__0a44237973daf68b69bbc80d0e5d94a8
(services; startup),services,188233;188202,Startups,general.alert3,,(venture; vc; startup),Startups,services,,dgm_vcstartup_terms,faa4a72f6a80997fff713156ecc19a28,dgm_vcstartup_terms__faa4a72f6a80997fff713156ecc19a28
(services; vc),services,188233;188202,Startups,general.alert3,,(venture; vc; startup),Startups,services,,dgm_vcstartup_terms,14523816787d7d7f1ee9b871944b1146,dgm_vcstartup_terms__14523816787d7d7f1ee9b871944b1146
(services; technology),services,188233;188202,Startups,general.alert3,,(venture; vc; startup),Startups,services,,dgm_vcstartup_terms,c9f4a87f4bd5a3c911d98ed6e4cdbc07,dgm_vcstartup_terms__c9f4a87f4bd5a3c911d98ed6e4cdbc07
saas,SaaS,188233;188203,Startups,general.alert3,,,Startups,SaaS,,dgm_vcstartup_terms,fc19d3f41f99560688daec7b7cbdde7e,dgm_vcstartup_terms__fc19d3f41f99560688daec7b7cbdde7e
(roadmap; venture),roadmap,188178;188326,Venture Capital,general.alert3,,(venture; vc; startup),VentureCapital,roadmap,,dgm_vcstartup_terms,ba600cd2fbda1d1adf9ffedf46acc7aa,dgm_vcstartup_terms__ba600cd2fbda1d1adf9ffedf46acc7aa
(roadmap; startup),roadmap,188178;188326,Venture Capital,general.alert3,,(venture; vc; startup),VentureCapital,roadmap,,dgm_vcstartup_terms,0b8e1a2cb4046570323f945e91dd4555,dgm_vcstartup_terms__0b8e1a2cb4046570323f945e91dd4555
(roadmap; vc),roadmap,188178;188326,Venture Capital,general.alert3,,(venture; vc; startup),VentureCapital,roadmap,,dgm_vcstartup_terms,a423525fe4bcbdac180e010a96da02f6,dgm_vcstartup_terms__a423525fe4bcbdac180e010a96da02f6
(roadmap; technology),roadmap,188178;188326,Venture Capital,general.alert3,,(venture; vc; startup),VentureCapital,roadmap,,dgm_vcstartup_terms,8b64f7e0091f4a15e4e15d325ae15ab5,dgm_vcstartup_terms__8b64f7e0091f4a15e4e15d325ae15ab5
exit strategy,exit strategy,188178;188327,funding Round,general.alert3,,(venture; vc; startup),FundingRound,exit strategy,,dgm_vcstartup_terms,05f0149e1dc4209b04c63f9051c39f3e,dgm_vcstartup_terms__05f0149e1dc4209b04c63f9051c39f3e
(tranches; venture),tranches,188178;188329,funding Round,general.alert3,,(venture; vc; startup),FundingRound,tranches,,dgm_vcstartup_terms,e7434dfd12d22b445944818b90386698,dgm_vcstartup_terms__e7434dfd12d22b445944818b90386698
(tranches; startup),tranches,188178;188329,funding Round,general.alert3,,(venture; vc; startup),FundingRound,tranches,,dgm_vcstartup_terms,c4caf9bc2a3312bb557b5bac3e06ff3c,dgm_vcstartup_terms__c4caf9bc2a3312bb557b5bac3e06ff3c
(tranches; vc),tranches,188178;188329,funding Round,general.alert3,,(venture; vc; startup),FundingRound,tranches,,dgm_vcstartup_terms,ccb31e1ef48af696d51013a09249d474,dgm_vcstartup_terms__ccb31e1ef48af696d51013a09249d474
(tranches; technology),tranches,188178;188329,funding Round,general.alert3,,(venture; vc; startup),FundingRound,tranches,,dgm_vcstartup_terms,e2059ce04606a410520c7abb6d7862ad,dgm_vcstartup_terms__e2059ce04606a410520c7abb6d7862ad
(valuation; venture),valuation,188178;188330,funding Round,general.alert3,,(venture; vc; startup),FundingRound,valuation,,dgm_vcstartup_terms,08611248e3cb3679f36f50699d728b93,dgm_vcstartup_terms__08611248e3cb3679f36f50699d728b93
(valuation; startup),valuation,188178;188330,funding Round,general.alert3,,(venture; vc; startup),FundingRound,valuation,,dgm_vcstartup_terms,dec5c0901c5f796c53e19505308f693d,dgm_vcstartup_terms__dec5c0901c5f796c53e19505308f693d
(valuation; vc),valuation,188178;188330,funding Round,general.alert3,,(venture; vc; startup),FundingRound,valuation,,dgm_vcstartup_terms,ac9285bf721edb9d2890fe6f85f0fd59,dgm_vcstartup_terms__ac9285bf721edb9d2890fe6f85f0fd59
(valuation; technology),valuation,188178;188330,funding Round,general.alert3,,(venture; vc; startup),FundingRound,valuation,,dgm_vcstartup_terms,f55a02bbf6c8efd29901e88bd7e43613,dgm_vcstartup_terms__f55a02bbf6c8efd29901e88bd7e43613
commercialization,commercialization,188178;188331,Startups,general.alert3,,,Startups,commercialization,,dgm_vcstartup_terms,714cc104bd6ad683657529a2ac402a42,dgm_vcstartup_terms__714cc104bd6ad683657529a2ac402a42
(ai; technology),AI,188233;188202,Startups,general.alert3,,technology,Startups,AI,,dgm_vcstartup_terms,18703fb4ae41bb05e8fb94bdb9ef64cb,dgm_vcstartup_terms__18703fb4ae41bb05e8fb94bdb9ef64cb
(iot; internet),IoT,188358;188233,Startups,general.alert3,,internet,Startups,IoT,,dgm_vcstartup_terms,7f10483ba64ff3c234ea8b68a8b3b058,dgm_vcstartup_terms__7f10483ba64ff3c234ea8b68a8b3b058
iot lighting,IoT lighting,188358;188233,Startups,general.alert3,,,Startups,IoT lighting,,dgm_vcstartup_terms,76abdf070dbc5559f2123de72eb71d25,dgm_vcstartup_terms__76abdf070dbc5559f2123de72eb71d25
(internet of things; internet),internet of things,188233;188202,Startups,general.alert3,,internet,Startups,internet of things,,dgm_vcstartup_terms,b2aec321a8252abb9a0f4898a3447fea,dgm_vcstartup_terms__b2aec321a8252abb9a0f4898a3447fea
serverless computing,serverless computing,188233,Startups,general.alert3,,,Startups,serverless computing,,dgm_vcstartup_terms,31f9ec26d145a0f77b1a430a91d65b66,dgm_vcstartup_terms__31f9ec26d145a0f77b1a430a91d65b66
(augmented reality; venture),augmented reality,188233;188202,Startups,general.alert3,,(venture; vc; startup),Startups,augmented reality,,dgm_vcstartup_terms,9e2b29eb56670eddd69526a2618ab4a4,dgm_vcstartup_terms__9e2b29eb56670eddd69526a2618ab4a4
(augmented reality; startup),augmented reality,188233;188202,Startups,general.alert3,,(venture; vc; startup),Startups,augmented reality,,dgm_vcstartup_terms,d4321c9122f7ba3982342acbec1ffdee,dgm_vcstartup_terms__d4321c9122f7ba3982342acbec1ffdee
(augmented reality; vc),augmented reality,188233;188202,Startups,general.alert3,,(venture; vc; startup),Startups,augmented reality,,dgm_vcstartup_terms,5524224b347dc958e376f2dc70019909,dgm_vcstartup_terms__5524224b347dc958e376f2dc70019909
(augmented reality; technology),augmented reality,188233;188202,Startups,general.alert3,,(venture; vc; startup),Startups,augmented reality,,dgm_vcstartup_terms,5f55707cb91de7c9c70aac8736e05b67,dgm_vcstartup_terms__5f55707cb91de7c9c70aac8736e05b67
(ar; vc),AR,188233;188203,Startups,general.alert3,,(venture; vc; startup),Startups,AR,,dgm_vcstartup_terms,d7fe4285ba0b6a57a9c894a5cee49b39,dgm_vcstartup_terms__d7fe4285ba0b6a57a9c894a5cee49b39
(ar; startup),AR,188233;188203,Startups,general.alert3,,,Startups,AR,,dgm_vcstartup_terms,5ccb9e27599fc21c5cb67429fc617a09,dgm_vcstartup_terms__5ccb9e27599fc21c5cb67429fc617a09
(ar; venture),AR,188233;188203,Startups,general.alert3,,,Startups,AR,,dgm_vcstartup_terms,66d11a52f5440bcd5cb00c657b8e94ce,dgm_vcstartup_terms__66d11a52f5440bcd5cb00c657b8e94ce
(ar; technology),AR,188233;188203,Startups,general.alert3,,,Startups,AR,,dgm_vcstartup_terms,f3ae36b614135610477de515d9a12f39,dgm_vcstartup_terms__f3ae36b614135610477de515d9a12f39
virtual reality,virtual reality,188233;188203,Startups,general.alert3,,(venture; vc; startup),Startups,virtual reality,,dgm_vcstartup_terms,99e5d438535715c002e16a72bf5f2e58,dgm_vcstartup_terms__99e5d438535715c002e16a72bf5f2e58
vr,VR,188233;188203,Startups,general.alert3,,(venture; vc; startup),Startups,VR,,dgm_vcstartup_terms,594a11b954bf08cf5d63ce95d996b752,dgm_vcstartup_terms__594a11b954bf08cf5d63ce95d996b752
(vr; startup),VR,188233;188203,Startups,general.alert3,,(venture; vc; startup),Startups,VR,,dgm_vcstartup_terms,ca665839fbfb5fcc704b2a5826f39c1a,dgm_vcstartup_terms__ca665839fbfb5fcc704b2a5826f39c1a
(vr; venture),VR,188233;188203,Startups,general.alert3,,(venture; vc; startup),Startups,VR,,dgm_vcstartup_terms,9b855ea7e1772ebf6c7713cf3cad9c1c,dgm_vcstartup_terms__9b855ea7e1772ebf6c7713cf3cad9c1c
(vr; technology),VR,188233;188203,Startups,general.alert3,,(venture; vc; startup),Startups,VR,,dgm_vcstartup_terms,8804da6e8d1d9303770195b22d85d653,dgm_vcstartup_terms__8804da6e8d1d9303770195b22d85d653
(vr; vc),VR,188233;188203,Startups,general.alert3,,(venture; vc; startup),Startups,VR,,dgm_vcstartup_terms,867395ab0b89e441ce06d4450ed123cc,dgm_vcstartup_terms__867395ab0b89e441ce06d4450ed123cc
(blockchain; venture),blockchain,188273;188233,Startups,general.alert3,,(venture; vc; startup),Startups,blockchain,,dgm_vcstartup_terms,f8c020f48fcca95e132c73006486083d,dgm_vcstartup_terms__f8c020f48fcca95e132c73006486083d
(blockchain; startup),blockchain,188273;188233,Startups,general.alert3,,(venture; vc; startup),Startups,blockchain,,dgm_vcstartup_terms,1ac7d19ed8ce7c3b679a39f3581a17cf,dgm_vcstartup_terms__1ac7d19ed8ce7c3b679a39f3581a17cf
(blockchain; vc),blockchain,188273;188233,Startups,general.alert3,,(venture; vc; startup),Startups,blockchain,,dgm_vcstartup_terms,11691cdf8f49d26e41665fdb7b0e8da6,dgm_vcstartup_terms__11691cdf8f49d26e41665fdb7b0e8da6
(blockchain; technology),blockchain,188273;188233,Startups,general.alert3,,(venture; vc; startup),Startups,blockchain,,dgm_vcstartup_terms,76d087b598c6ace3d5894b1f6c1c68ad,dgm_vcstartup_terms__76d087b598c6ace3d5894b1f6c1c68ad
natural language processing,natural language processing,188233,Startups,general.alert3,,(venture; vc; startup),Startups,natural language processing,,dgm_vcstartup_terms,b79519c1a580b9a0d4a64b62164e2cbe,dgm_vcstartup_terms__b79519c1a580b9a0d4a64b62164e2cbe
(natural language processing; venture),natural language processing,188233,Startups,general.alert3,,(venture; vc; startup),Startups,natural language processing,,dgm_vcstartup_terms,dbdba6d59fa6eaea5eb9499e39a3081c,dgm_vcstartup_terms__dbdba6d59fa6eaea5eb9499e39a3081c
(natural language processing; startup),natural language processing,188233,Startups,general.alert3,,(venture; vc; startup),Startups,natural language processing,,dgm_vcstartup_terms,72f38e0ecb2c7ad872e3ace8119c9730,dgm_vcstartup_terms__72f38e0ecb2c7ad872e3ace8119c9730
(natural language processing; vc),natural language processing,188233,Startups,general.alert3,,(venture; vc; startup),Startups,natural language processing,,dgm_vcstartup_terms,09f26fb95dfe2eee585030200be42cef,dgm_vcstartup_terms__09f26fb95dfe2eee585030200be42cef
(natural language processing; technology),natural language processing,188233,Startups,general.alert3,,(venture; vc; startup),Startups,natural language processing,,dgm_vcstartup_terms,76852d71fb86683186651e0d90d48f3b,dgm_vcstartup_terms__76852d71fb86683186651e0d90d48f3b
(nlp; venture),NLP,188233,Startups,general.alert3,,(venture; vc; startup),Startups,NLP,,dgm_vcstartup_terms,10659a4c0f0760d6beafe238cd54df93,dgm_vcstartup_terms__10659a4c0f0760d6beafe238cd54df93
(nlp; startup),NLP,188233,Startups,general.alert3,,(venture; vc; startup),Startups,NLP,,dgm_vcstartup_terms,fd490d4bc335725733e961e839b59273,dgm_vcstartup_terms__fd490d4bc335725733e961e839b59273
(nlp; vc),NLP,188233,Startups,general.alert3,,(venture; vc; startup),Startups,NLP,,dgm_vcstartup_terms,b3a9bd9f2996058c287348019ba1c335,dgm_vcstartup_terms__b3a9bd9f2996058c287348019ba1c335
(nlp; technology),NLP,188233,Startups,general.alert3,,(venture; vc; startup),Startups,NLP,,dgm_vcstartup_terms,ad7b4f28d021b5a71141b16599e316da,dgm_vcstartup_terms__ad7b4f28d021b5a71141b16599e316da
quantum computing,quantum computing,188233,Startups,general.alert3,,(venture; vc; startup),Startups,quantum computing,,dgm_vcstartup_terms,08a09041315bbdb81f8e642a120fa92c,dgm_vcstartup_terms__08a09041315bbdb81f8e642a120fa92c
low-code platforms,low-code platforms,188233,Startups,general.alert3,,,Startups,low-code platforms,,dgm_vcstartup_terms,3774266607bf3ede06ddd4156996bb26,dgm_vcstartup_terms__3774266607bf3ede06ddd4156996bb26
robotic process automation,robotic process automation,188233;188202,Startups,general.alert3,,,Startups,robotic process automation,,dgm_vcstartup_terms,875257fbd173231b698ff34c95b65433,dgm_vcstartup_terms__875257fbd173231b698ff34c95b65433
rpa,RPA,188233;188203,Startups,general.alert3,,,Startups,RPA,,dgm_vcstartup_terms,3745c94c13f9a9e1f497ca1099bf7aeb,dgm_vcstartup_terms__3745c94c13f9a9e1f497ca1099bf7aeb
(byoe; venture),BYOE,188233;188203,Startups,general.alert3,,(venture; vc; startup),Startups,BYOE,,dgm_vcstartup_terms,222c7af0ec3ffdd91eebfa18d8f56409,dgm_vcstartup_terms__222c7af0ec3ffdd91eebfa18d8f56409
(byoe; startup),BYOE,188233;188203,Startups,general.alert3,,(venture; vc; startup),Startups,BYOE,,dgm_vcstartup_terms,b782d41e7f8c668298ceed723d26e293,dgm_vcstartup_terms__b782d41e7f8c668298ceed723d26e293
(byoe; vc),BYOE,188233;188203,Startups,general.alert3,,(venture; vc; startup),Startups,BYOE,,dgm_vcstartup_terms,6a3eb67ad40caeef2b8935ccf0ba9509,dgm_vcstartup_terms__6a3eb67ad40caeef2b8935ccf0ba9509
(byoe; technology),BYOE,188233;188203,Startups,general.alert3,,(venture; vc; startup),Startups,BYOE,,dgm_vcstartup_terms,f4c88dafda72635f38b7f04bb1bc96d0,dgm_vcstartup_terms__f4c88dafda72635f38b7f04bb1bc96d0
multiparty systems,multiparty systems,188233;188203,Startups,general.alert3,,,Startups,multiparty systems,,dgm_vcstartup_terms,1cc4aee12d343eb925f996602ba07434,dgm_vcstartup_terms__1cc4aee12d343eb925f996602ba07434
mps,MPS,188233;188206,Startups,general.alert3,,,Startups,MPS,,dgm_vcstartup_terms,1bba1446627748c37e3b8f7905024159,dgm_vcstartup_terms__1bba1446627748c37e3b8f7905024159
distributed ledger,distributed ledger,188273;188233,Startups,general.alert3,,,Startups,distributed ledger,,dgm_vcstartup_terms,1abf0199f8e9b29727d621f3b0666e7f,dgm_vcstartup_terms__1abf0199f8e9b29727d621f3b0666e7f
distributed database,distributed database,188233;188360,Startups,general.alert3,,,Startups,distributed database,,dgm_vcstartup_terms,5dc71a48b3781b6e61351f9fa99464c7,dgm_vcstartup_terms__5dc71a48b3781b6e61351f9fa99464c7
tokenization,tokenization,188273,Startups,general.alert3,,,Startups,tokenization,,dgm_vcstartup_terms,a62ff93add535f4806711f5924a36666,dgm_vcstartup_terms__a62ff93add535f4806711f5924a36666
frictionless payments,frictionless payments,188273;188214,Startups,general.alert3,,,Startups,frictionless payments,,dgm_vcstartup_terms,672c0f4811703cb97c47e88ee8ceef81,dgm_vcstartup_terms__672c0f4811703cb97c47e88ee8ceef81
digital twins,digital twins,188233;188202,Startups,general.alert3,,,Startups,digital twins,,dgm_vcstartup_terms,4d6fc90451b5864aec8ce1798f83b615,dgm_vcstartup_terms__4d6fc90451b5864aec8ce1798f83b615
intelligent twins,intelligent twins,188233;188203,Startups,general.alert3,,,Startups,intelligent twins,,dgm_vcstartup_terms,b55eda68f95a29b3c2d3b10e47dbf6d3,dgm_vcstartup_terms__b55eda68f95a29b3c2d3b10e47dbf6d3
virtual model,virtual model,188233;188203,Startups,general.alert3,,,Startups,virtual model,,dgm_vcstartup_terms,9f16a3ae1af8b23b2f7db9bf8efdecaf,dgm_vcstartup_terms__9f16a3ae1af8b23b2f7db9bf8efdecaf
information technology,information technology,188233;188202,Startups,general.alert3,,,Startups,information technology,,dgm_vcstartup_terms,5275796dcc9d8f7f0dc5b12f36306787,dgm_vcstartup_terms__5275796dcc9d8f7f0dc5b12f36306787
cultured meat,cultured meat,188158;188312,Startups,general.alert3,,,Startups,cultured meat,,dgm_vcstartup_terms,87c16f23b8bb3d30a206e996a925434d,dgm_vcstartup_terms__87c16f23b8bb3d30a206e996a925434d
agricultural robotics,agricultural robotics,188158;188313,Startups,general.alert3,,,Startups,agricultural robotics,,dgm_vcstartup_terms,6c57f0471368606c733df0e66b4a4c06,dgm_vcstartup_terms__6c57f0471368606c733df0e66b4a4c06
closed ecological systems,closed ecological systems,188158;188314,Startups,general.alert3,,,Startups,closed ecological systems,,dgm_vcstartup_terms,6743a89c020b5761f52029e40e42d4c2,dgm_vcstartup_terms__6743a89c020b5761f52029e40e42d4c2
vertical farming,vertical farming,188158;188315,Startups,general.alert3,,,Startups,vertical farming,,dgm_vcstartup_terms,52ad43fd9e543467810a7981af89aadb,dgm_vcstartup_terms__52ad43fd9e543467810a7981af89aadb
plasma propulsion,plasma propulsion,188219;188301,Startups,general.alert3,,,Startups,plasma propulsion,,dgm_vcstartup_terms,14dcb1a2e2e5444ecaee36419f3c0317,dgm_vcstartup_terms__14dcb1a2e2e5444ecaee36419f3c0317
pulse detonation engine,pulse detonation engine,188219;188302,Startups,general.alert3,,,Startups,pulse detonation engine,,dgm_vcstartup_terms,cbb31ab840222cf074630a5fee3d68c8,dgm_vcstartup_terms__cbb31ab840222cf074630a5fee3d68c8
arcology,arcology,188221,Startups,general.alert3,,,Startups,arcology,,dgm_vcstartup_terms,b01054b22271bf881423f5eb68cfe018,dgm_vcstartup_terms__b01054b22271bf881423f5eb68cfe018
four-dimensional printing,four-dimensional printing,188221,Startups,general.alert3,,,Startups,four-dimensional printing,,dgm_vcstartup_terms,7087bc90128e999d1cc13c93db61d8da,dgm_vcstartup_terms__7087bc90128e999d1cc13c93db61d8da
domed city,domed city,188339;188221,Startups,general.alert3,,,Startups,domed city,,dgm_vcstartup_terms,ce73b57f7f34cd4498bb06de356db565,dgm_vcstartup_terms__ce73b57f7f34cd4498bb06de356db565
aerogel,aerogel,188220,Startups,general.alert3,,,Startups,aerogel,,dgm_vcstartup_terms,627ee4fa6e9bb5330df7958c2206f2c6,dgm_vcstartup_terms__627ee4fa6e9bb5330df7958c2206f2c6
amorphous metal,amorphous metal,188220;188163;188164,Startups,general.alert3,,,Startups,amorphous metal,,dgm_vcstartup_terms,3e27518bd37de0baefaaa725c86c189c,dgm_vcstartup_terms__3e27518bd37de0baefaaa725c86c189c
