company,guid,company_caption,tier,location,lat,lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1 800 flowers,894fb3718aef4fac966643eb37b49dea,1800Flowers,Tier 2,"Carle Place, NY, USA",40.7526008,-73.6104058,Shipping,1800Flowers,,us_sec_company,ad16af71f32fb5666cb92ba000847ae7,us_sec_company__ad16af71f32fb5666cb92ba000847ae7
111 inc,65d5a240d63f417e2f9c402a43a3cd1d,111 Inc,Other,"Shanghai, China",31.230416,121.473701,Legislator,111 Inc,,us_sec_company,f4cacc8fd012da94f3bf1f9b215af526,us_sec_company__f4cacc8fd012da94f3bf1f9b215af526
1347 property insurance,479b38f38e88cf95e63ab00abe6aa37f,1347 Property Insurance Holdings,Other,"Tampa, FL, USA",27.950575,-82.4571776,Legislator,1347 Property Insurance Holdings,,us_sec_company,1cb9997db7ef89f5dcc344d9a66ca472,us_sec_company__1cb9997db7ef89f5dcc344d9a66ca472
180 degree capital,68fd679ddb13d72f19d91c31bf849ad1,180 Degree Capital,Other,"Montclair, NJ, USA",40.8259007,-74.2090053,CompanyKeyword,180 Degree Capital,,us_sec_company,672e69e12b378c484657f46cd9e52aa0,us_sec_company__672e69e12b378c484657f46cd9e52aa0
1895 bancorp of wisconsin,5c096947a8dfe8415bda772b6c164211,1895 Bancorp of Wisconsin,Other,"Greenfield, WI, USA",42.9614039,-88.0125865,Legislator,1895 Bancorp of Wisconsin,,us_sec_company,19688b7542cc27ab80f1faa1008d3bf6,us_sec_company__19688b7542cc27ab80f1faa1008d3bf6
1st constitution bancorp,2084e9b63e1e624651708716fc37236e,1st Constitution Bancorp,Other,"Cranbury, NJ, USA",40.3025907,-74.511172,space,1st Constitution Bancorp,,us_sec_company,acf210b49851dae9e6625aaf064b9f15,us_sec_company__acf210b49851dae9e6625aaf064b9f15
1st source corp,05b1d7e99d80edf72969d525463eb23e,1st Source,Other,"South Bend, IN, USA",41.6763545,-86.2519898,AAEntity,1st Source,,us_sec_company,0d4aca0282e863f5eede730713fff3e3,us_sec_company__0d4aca0282e863f5eede730713fff3e3
21vianet group,c5776d087c5e02a8d58186a334042e59,21Vianet Group,Other,"Beijing, China",39.9041999,116.4073963,IndustryTerm,21Vianet Group,,us_sec_company,eb5471fb4aa13e1dcbc1dfdad921d312,us_sec_company__eb5471fb4aa13e1dcbc1dfdad921d312
22nd century group,01b4b107f5a4a0d3afb39a4bffcf995b,22nd Century Group,Other,"Williamsville, NY, USA",42.963947,-78.7378091,Wells,22nd Century Group,,us_sec_company,417c25325430db845db3ba657df4e826,us_sec_company__417c25325430db845db3ba657df4e826
2u,b72150fa373cb55b69fb3c2f1002ffa0,2U Inc,Other,"Lanham, MD, USA",38.9685112,-76.8620327,News,2U Inc,,us_sec_company,a67bbf1405f81bb438fa5494cedc1ce1,us_sec_company__a67bbf1405f81bb438fa5494cedc1ce1
3d systems,b3e9eb4fd1bd7598b491ffd7f3ce5e4f,3D Systems,Other,"Rock Hill, SC, USA",34.9248667,-81.0250784,DiplomaticFacilities,3D Systems,,us_sec_company,c1903ad7ee503add4607c26f44ed04f2,us_sec_company__c1903ad7ee503add4607c26f44ed04f2
3m co,48562aee0bffd911051ef423793942e0,3M,Tier 2,"St. Paul, MN, USA",44.9537029,-93.0899578,Media,3M,,us_sec_company,ac114641763553c1a1cdb23be3afb6da,us_sec_company__ac114641763553c1a1cdb23be3afb6da
500com,612a7aa558b20a5a6c7c8d0a0a409eea,500.com Limited,Other,"Shenzhen, Guangdong Province, China",22.543096,114.057865,Shipping,500.com Limited,,us_sec_company,8fd6918afe86282ffbf7bd1a277a9a02,us_sec_company__8fd6918afe86282ffbf7bd1a277a9a02
51job,3c7e411f1f99fb334bfd34963100e25f,51job,Other,"Shanghai, China",31.230416,121.473701,Pipeline,51job,,us_sec_company,32c490f1bf8dddf270ba90d7b264cd31,us_sec_company__32c490f1bf8dddf270ba90d7b264cd31
7 eleven,245b0259ae4cedd5cd8c07e8f06e24fc,7-Eleven,Tier 2,"Dallas, TX, USA",32.7766642,-96.7969879,Exec,7-Eleven,,us_sec_company,f21f5b24569cddcbf7c4e5f1b8c09c54,us_sec_company__f21f5b24569cddcbf7c4e5f1b8c09c54
8x8,7418cabd86e3fdc1dca440d3beba81e7,8x8 Inc,Other,"San Jose, CA, USA",37.3382082,-121.8863286,Organization,8x8 Inc,,us_sec_company,13e214fa204a01b16a12cc31169ed2d9,us_sec_company__13e214fa204a01b16a12cc31169ed2d9
99 cents only stores,54d2775a1c0ab095f9610aece04e858c,99 Cents Only Stores,Tier 2,"City Of Commerce, CA, USA",34.0005691,-118.1597929,CompanyKeyword,99 Cents Only Stores,,us_sec_company,a20ed26c7641cd7e1efcb8bfeb8d91f5,us_sec_company__a20ed26c7641cd7e1efcb8bfeb8d91f5
a o smith corp,b45f32d1d5db62b20ea7c343466eef5f,A. O. Smith,Other,"Milwaukee, WI, USA",43.0389025,-87.9064736,AAEntity,A. O. Smith,,us_sec_company,7f2b14dd3a399f8f62a168cb395e4c44,us_sec_company__7f2b14dd3a399f8f62a168cb395e4c44
a-mark precious metals,b5e723e9410262e8195a48045c201b49,A-Mark Precious Metals,Other,"El Segundo, CA, USA",33.9191799,-118.4164652,space,A-Mark Precious Metals,,us_sec_company,1fad5a49dcd1806290f6d31ab3d3883d,us_sec_company__1fad5a49dcd1806290f6d31ab3d3883d
a10 networks,acffabbbc3f43727f7dd63a5c173f426,A10 Networks,Other,"San Jose, CA, USA",37.3382082,-121.8863286,DiplomaticFacilities,A10 Networks,,us_sec_company,690cfa6bf73eabcfdd475b3034803401,us_sec_company__690cfa6bf73eabcfdd475b3034803401
aaon,fdb696c35ddb5caface6f1b91f7afc4b,AAON,Other,"Tulsa, OK, USA",36.1539816,-95.992775,IndustryTerm,AAON,,us_sec_company,1897026c2d9ff9b24ab262a7d7a8e6ce,us_sec_company__1897026c2d9ff9b24ab262a7d7a8e6ce
aar,6bfb51edff3d22417e84eac69a597d23,AAR Corporation,Other,"Wood Dale, IL, USA",41.9633625,-87.9789562,CompanyKeyword,AAR Corporation,,us_sec_company,5a0ed8077c00c821032804ef3839a8fd,us_sec_company__5a0ed8077c00c821032804ef3839a8fd
aarp,2f7155bb7a483ecb151b2c6ef70bc228,AARP,Tier 2,"Washington, District Of Columbia, USA",38.9071923,-77.0368707,Pipeline,AARP,,us_sec_company,6c2ec79238bb6cf74e3bc950417f1f9b,us_sec_company__6c2ec79238bb6cf74e3bc950417f1f9b
abb ltd,a9908486b612a6a45510a61f95a4a680,ABB Ltd,Other,"Zurich, Zurich, Switzerland",47.3768866,8.541694,LegislativeCommittee,ABB Ltd,,us_sec_company,6c1d7ca6ca862e9bc42513e632d105fc,us_sec_company__6c1d7ca6ca862e9bc42513e632d105fc
abbott laboratories,d625cbb483cc5cfc4cc85c88d86f34d3,Abbott Laboratories,Tier 2,"Abbott Park, IL, USA",42.3041814,-87.8963916,CompanyKeyword,Abbott Laboratories,,us_sec_company,a7475558c424444adffc2bf553ec9921,us_sec_company__a7475558c424444adffc2bf553ec9921
abbvie,7f7f1f259450586c8366da36a1489ff8,AbbVie,Tier 2,"North Chicago, IL, USA",42.325578,-87.8411818,Keyphrase,AbbVie,,us_sec_company,fff04a9ffaefb26637d330bd018e94de,us_sec_company__fff04a9ffaefb26637d330bd018e94de
abcam plc,af74ae02a84998d80b7fdb089427f57e,Abcam plc,Other,"Cambridge, Cambridgeshire, UK",52.205337,0.121817,CompanyKeyword,Abcam plc,,us_sec_company,b4f1b0e4bf47b0d06fb68df53390ce12,us_sec_company__b4f1b0e4bf47b0d06fb68df53390ce12
abeona therapeutics,22669e7d8b8d9119b575f9b4ca057c2f,Abeona Therapeutics,Other,"New York, NY, USA",40.7127753,-74.0059728,Media,Abeona Therapeutics,,us_sec_company,b847d7fc4841300e60cff6aec52d79cb,us_sec_company__b847d7fc4841300e60cff6aec52d79cb
abercrombie & fitch,28b90de4465d6cc6c42f81bd1822ad17,Abercrombie & Fitch,Tier 2,"New Albany, OH, USA",40.0903748,-82.7935789,AAEntity,Abercrombie & Fitch,,us_sec_company,af1bfbb5a6c00553ac3c19983348d44e,us_sec_company__af1bfbb5a6c00553ac3c19983348d44e
aberdeen japan equity fund,eabe7bf1eedf6763f8551c05809fe4e2,Aberdeen Japan Equity Fund,Other,"Singapore, Singapore",1.352083,103.819836,LegislativeCommittee,Aberdeen Japan Equity Fund,,us_sec_company,3390cd4ec35caab20ed600515fe57798,us_sec_company__3390cd4ec35caab20ed600515fe57798
abiomed,674dd4747a060e0e10d31ca308040b2e,Abiomed,Other,"Danvers, MA, USA",42.5750009,-70.932122,DiplomaticFacilities,Abiomed,,us_sec_company,27ce8d2eeb579ea269b3bb05661a7f74,us_sec_company__27ce8d2eeb579ea269b3bb05661a7f74
abm industries,75281c1dd310569fe2bf55fac09e5238,ABM Industries Incorporated,Other,"New York, NY, USA",40.7127753,-74.0059728,space,ABM Industries Incorporated,,us_sec_company,006a157f1dda6d6dff257dc01cba6e66,us_sec_company__006a157f1dda6d6dff257dc01cba6e66
abraxas petroleum corp,ab3d56b5c2d51f24845834b133ed6b75,Abraxas Petroleum,Other,"San Antonio, TX, USA",29.4241219,-98.4936282,Shipping,Abraxas Petroleum,,us_sec_company,2c3edad1ff3ccb2cc97f9e4cc78c603a,us_sec_company__2c3edad1ff3ccb2cc97f9e4cc78c603a
absolute software corp,d01494c311ddf4fbb793a0de08016f7c,Absolute Software,Other,"Vancouver, British Columbia, Canada",49.2827291,-123.1207375,Pipeline,Absolute Software,,us_sec_company,07d4fb1d25fad31eb0c901fd9322d0a5,us_sec_company__07d4fb1d25fad31eb0c901fd9322d0a5
ac immune,406f1544c670d1cd545f01f1bfa67286,AC Immune SA,Other,"Lausanne, Vaud, Switzerland",46.5196535,6.6322734,News,AC Immune SA,,us_sec_company,601438bb12310d3cdf0280eb83855a86,us_sec_company__601438bb12310d3cdf0280eb83855a86
acacia communications,5be04735ca06b6774734433fc86c3645,Acacia Communications,Other,"Maynard, MA, USA",42.4334903,-71.4495058,Legislator,Acacia Communications,,us_sec_company,59a104821cfcbf640c477d4ab67c84b6,us_sec_company__59a104821cfcbf640c477d4ab67c84b6
acacia research corp,0020e59f334b6d2d0aca9522978c7161,Acacia Research,Other,"Newport Beach, CA, USA",33.6188829,-117.9298493,space,Acacia Research,,us_sec_company,dc9e531f0457db7fea8627bb2f8cc86c,us_sec_company__dc9e531f0457db7fea8627bb2f8cc86c
acadia healthcare company,58f7727140d4d66b81ea3a7b413bec4e,Acadia Healthcare Company,Other,"Franklin, TN, USA",35.9250637,-86.8688899,Wells,Acadia Healthcare Company,,us_sec_company,2fc7009c5fa06ebcac0af5174ae7f0d7,us_sec_company__2fc7009c5fa06ebcac0af5174ae7f0d7
acadia pharmaceuticals,7be7486feb93d7fd3624f64254f091ab,ACADIA Pharmaceuticals,Other,"San Diego, CA, USA",32.715738,-117.1610838,space,ACADIA Pharmaceuticals,,us_sec_company,fa746ece40a5ca9d2185530b86587bdc,us_sec_company__fa746ece40a5ca9d2185530b86587bdc
acadia realty trust,ba72893b058259606ecdb0f4f25611a5,Acadia Realty Trust,Other,"Rye, NY, USA",40.9806535,-73.6837399,Legislator,Acadia Realty Trust,,us_sec_company,525f84027daa0927812225093f36e504,us_sec_company__525f84027daa0927812225093f36e504
acasti pharma,4dabf7f09bbd0460ca351cb3acd3f972,Acasti Pharma,Other,"Laval, Quebec, Canada",45.6066487,-73.712409,Organization,Acasti Pharma,,us_sec_company,bb76fd13b7148ff66beebcb73b37e2ce,us_sec_company__bb76fd13b7148ff66beebcb73b37e2ce
accelerate diagnostics,d473068e188dfb708b4ac7598a6d5032,Accelerate Diagnostics,Other,"Tucson, AZ, USA",32.2226066,-110.9747108,ForeignMinistry,Accelerate Diagnostics,,us_sec_company,048496fbb7a72492cdc2146b80bb9659,us_sec_company__048496fbb7a72492cdc2146b80bb9659
acceleron pharma,1b822ee42f8289c9646b11f11221708b,Acceleron Pharma,Other,"Cambridge, MA, USA",42.3736158,-71.1097335,Shipping,Acceleron Pharma,,us_sec_company,0eaaecb96e4f0c93cbc665e7b6185bfd,us_sec_company__0eaaecb96e4f0c93cbc665e7b6185bfd
accenture,23f2482029477cdcc861ccbbf55de206,Accenture plc,Other,"Dublin, Co. Dublin, Ireland",53.3498053,-6.2603097,Pipeline,Accenture plc,,us_sec_company,7c630ffc2e75c129350843c1f9a8546d,us_sec_company__7c630ffc2e75c129350843c1f9a8546d
acco brands,0ef21d01bd663d2e64315cbafdd54d71,ACCO Brands,Tier 2,"Lake Zurich, IL, USA",42.1969689,-88.0934108,Shipping,ACCO Brands,,us_sec_company,ae7fe398b696e819d8b467f251da8e4b,us_sec_company__ae7fe398b696e819d8b467f251da8e4b
accuray,ad46eaf120e4c39a702cc4acca860d55,Accuray Incorporated,Other,"Sunnyvale, CA, USA",37.36883,-122.0363496,Shipping,Accuray Incorporated,,us_sec_company,bdebf3c7d09bcd673762fc5594d3f943,us_sec_company__bdebf3c7d09bcd673762fc5594d3f943
ace hardware,33d12e35c640c5bfe758459e5c0cea86,Ace Hardware,Tier 2,"Oak Brook, IL, USA",41.8397865,-87.9535534,IndustryTerm,Ace Hardware,,us_sec_company,ff20b7fe5cf1e49a572dbd901685ca8e,us_sec_company__ff20b7fe5cf1e49a572dbd901685ca8e
acelrx pharmaceuticals,5c9f6982b144c941a82ebff559a6bcec,AcelRx Pharmaceuticals,Other,"Redwood City, CA, USA",37.4847955,-122.228141,Consulates,AcelRx Pharmaceuticals,,us_sec_company,74d6e1e66829b3f0cd7eb937a731879d,us_sec_company__74d6e1e66829b3f0cd7eb937a731879d
acer therapeutics,9055608906e43ba4b31325cc4f80aec1,Acer Therapeutics,Other,"Newton, MA, USA",42.3370413,-71.2092214,AAEntity,Acer Therapeutics,,us_sec_company,2be031baa0a775d1b604453a3c0e08cc,us_sec_company__2be031baa0a775d1b604453a3c0e08cc
achieve life sciences,31ceb2b29e9ace4164d2fa1178e7dcea,Achieve Life Sciences,Other,"Vancouver, British Columbia, Canada",49.2827291,-123.1207375,News,Achieve Life Sciences,,us_sec_company,8361253938444e3e04df4a3ba270f4b5,us_sec_company__8361253938444e3e04df4a3ba270f4b5
aci worldwide,1afb452670ffa6dfac49e52a7fd74e51,ACI Worldwide,Other,"Naples, FL, USA",26.1420358,-81.7948103,Consulates,ACI Worldwide,,us_sec_company,03f3134595e3cfe5691ead4bc43bda78,us_sec_company__03f3134595e3cfe5691ead4bc43bda78
aclaris therapeutics,1c5451bc2ac051c34dbf7e2bdd4c5286,Aclaris Therapeutics,Other,"Wayne, PA, USA",40.0415996,-75.3698895,Pipeline,Aclaris Therapeutics,,us_sec_company,f98f8aef2e1d72fb6e087f6a97f31f78,us_sec_company__f98f8aef2e1d72fb6e087f6a97f31f78
acm research,cebf3a8e994d58f45a8175014e22cad7,ACM Research,Other,"Fremont, CA, USA",37.5485396,-121.988583,Person,ACM Research,,us_sec_company,d3630429a87e23114935e6c4d75143d3,us_sec_company__d3630429a87e23114935e6c4d75143d3
acme united corp,aaa96a34b18e20f725e620137b1f7338,Acme United,Other,"Fairfield, CT, USA",41.1408363,-73.2612615,Diplomat,Acme United,,us_sec_company,49fe715dea4cd9f2d72deebcf1f28130,us_sec_company__49fe715dea4cd9f2d72deebcf1f28130
acnb corp,de2d98d48c1332ce1ff9e810f0bd7ce7,ACNB,Other,"Gettysburg, PA, USA",39.8309293,-77.2310955,FTO,ACNB,,us_sec_company,c7ae5989551a4c803a4d14c0703be44c,us_sec_company__c7ae5989551a4c803a4d14c0703be44c
acorda therapeutics,cc7fd7a25ac598e9df1f4b3c76b18308,Acorda Therapeutics,Other,"Ardsley, NY, USA",41.0106531,-73.8437452,Diplomat,Acorda Therapeutics,,us_sec_company,7ad856ca23694e051fa7f5769c9a3544,us_sec_company__7ad856ca23694e051fa7f5769c9a3544
acorn international,c37e7114420139d83c01b8e98808c02b,Acorn International,Other,"Shanghai, China",31.230416,121.473701,CompanyKeyword,Acorn International,,us_sec_company,06b22136701b0021eb07cf3c8b36d377,us_sec_company__06b22136701b0021eb07cf3c8b36d377
actinium pharmaceuticals,c9c1b585f80a883dbe7970a3244380b1,Actinium Pharmaceuticals,Other,"New York, NY, USA",40.7127753,-74.0059728,Organization,Actinium Pharmaceuticals,,us_sec_company,f125cde5263b986cf0ca793a40c0a128,us_sec_company__f125cde5263b986cf0ca793a40c0a128
activision blizzard,5f1a65971ad63c9cf9be9b25b89b5e28,Activision Blizzard,Tier 2,"Santa Monica, CA, USA",34.0194543,-118.4911912,DiplomaticFacilities,Activision Blizzard,,us_sec_company,07295b19e93b2c43f98ce3ea154f39f2,us_sec_company__07295b19e93b2c43f98ce3ea154f39f2
acuity brands,29294a270671a5c647b6220ab3548a52,Acuity Brands,Other,"Atlanta, GA, USA",33.7489954,-84.3879824,Organization,Acuity Brands,,us_sec_company,1aceca7e78e2be00bb9720c62a10f2f4,us_sec_company__1aceca7e78e2be00bb9720c62a10f2f4
acushnet holdings,837136ff997e757b0dadfd1e49a88ac4,Acushnet Holdings,Other,"Fairhaven, MA, USA",41.6376043,-70.9036487,Media,Acushnet Holdings,,us_sec_company,d8fec41c891c15adbf186973d06681a3,us_sec_company__d8fec41c891c15adbf186973d06681a3
adamas pharmaceuticals,0d8a0aa28c5c03b76de74db2fdd6c4b3,Adamas Pharmaceuticals,Other,"Emeryville, CA, USA",37.8395028,-122.2892278,ForeignMinister,Adamas Pharmaceuticals,,us_sec_company,5b28c340b6fded02cbc467267be4efad,us_sec_company__5b28c340b6fded02cbc467267be4efad
adamis pharmaceuticals corp,3755c59dae6fad99bd6a3977131cfe0f,Adamis Pharmaceuticals,Other,"San Diego, CA, USA",32.715738,-117.1610838,Media,Adamis Pharmaceuticals,,us_sec_company,64b2315d7c1229af6b76bcfd0dd9bc3a,us_sec_company__64b2315d7c1229af6b76bcfd0dd9bc3a
adams diversified equity fund,e2edfe6b69e3749206e0cd807e298668,Adams Diversified Equity Fund,Other,"Baltimore, MD, USA",39.2903848,-76.6121893,Refinery,Adams Diversified Equity Fund,,us_sec_company,a408e825d471e63106f0246cdaa47046,us_sec_company__a408e825d471e63106f0246cdaa47046
adams natural resources fund,61a317fb654846d87a0c775262ce99d7,Adams Natural Resources Fund,Other,"Baltimore, MD, USA",39.2903848,-76.6121893,ForeignMinister,Adams Natural Resources Fund,,us_sec_company,d36b5acf83344a80bc50fbb9aa0ab6a4,us_sec_company__d36b5acf83344a80bc50fbb9aa0ab6a4
adams resources & energy,dfb25c18e3b2b7264144586e1a6f6039,Adams Resources & Energy,Other,"Houston, TX, USA",29.7604267,-95.3698028,space,Adams Resources & Energy,,us_sec_company,90eaad92a367827b7d49bc4f181cdfb8,us_sec_company__90eaad92a367827b7d49bc4f181cdfb8
adaptimmune therapeutics,37f1f2226c54142ac83425649e1636e1,Adaptimmune Therapeutics plc,Other,"Abingdon, Oxfordshire, UK",51.67078,-1.2879529,Refinery,Adaptimmune Therapeutics plc,,us_sec_company,58c6273940027f9d9b600c6d0d1e5f3f,us_sec_company__58c6273940027f9d9b600c6d0d1e5f3f
addus homecare corp,eab6f94d7e231ea8d8ab4c192c242619,Addus HomeCare,Other,"Frisco, TX, USA",33.1506744,-96.8236116,AAEntity,Addus HomeCare,,us_sec_company,9b070115559de3ec3794f325aa74dd36,us_sec_company__9b070115559de3ec3794f325aa74dd36
addvantage technologies group,5f6b773d329d7644fe585a6a03586230,ADDvantage Technologies Group,Other,"Broken Arrow, OK, USA",36.060949,-95.7974526,LegislativeCommittee,ADDvantage Technologies Group,,us_sec_company,6530856e483ba63a919f71b18a1f28be,us_sec_company__6530856e483ba63a919f71b18a1f28be
adecoagro,182d191bd34040e9740073057b95d5d7,Adecoagro S.A.,Other,"Luxembourg City, Luxembourg",49.611621,6.1319346,Wells,Adecoagro S.A.,,us_sec_company,71f497dd0179589fbef53384ad5841a3,us_sec_company__71f497dd0179589fbef53384ad5841a3
adial pharmaceuticals,c87f3b5fc4fe0fc8d3911b87e061f0b5,Adial Pharmaceuticals,Other,"Charlottesville, VA, USA",38.0293059,-78.4766781,Wells,Adial Pharmaceuticals,,us_sec_company,1c1949c6268e46118e19ef9f788739cc,us_sec_company__1c1949c6268e46118e19ef9f788739cc
adient,8cf0d3262bab6190ed54d90f6940f85b,Adient plc,Other,"Dublin, Co. Dublin, Ireland",53.3498053,-6.2603097,IndustryTerm,Adient plc,,us_sec_company,8efd594d6fb20ea6c8bce35d6452cab8,us_sec_company__8efd594d6fb20ea6c8bce35d6452cab8
adma biologics,9b7f9360fe66be74c75fc2c4c927fe2c,ADMA Biologics,Other,"Ramsey, NJ, USA",41.0573188,-74.1409771,FTO,ADMA Biologics,,us_sec_company,a546f5c70048e3ba24d716bb08368942,us_sec_company__a546f5c70048e3ba24d716bb08368942
adobe,aea069334333a347c1433a9a8c0ff7c2,Adobe,Tier 2,"San Jose, CA, USA",37.3382082,-121.8863286,Diplomat,Adobe,,us_sec_company,31a1c4601df08c9d910d6d8d6e490072,us_sec_company__31a1c4601df08c9d910d6d8d6e490072
adt,c6203c1cdf442cca2f468ebe07bb7650,ADT,Tier 2,"Boca Raton, FL, USA",26.3683064,-80.1289321,Shipping,ADT,,us_sec_company,08342314c89d6f5c9163e8030f3a1d27,us_sec_company__08342314c89d6f5c9163e8030f3a1d27
adtalem global education,a03153bd0b88c5aa0c4015b844de032e,Adtalem Global Education,Other,"Chicago, IL, USA",41.8781136,-87.6297982,Keyphrase,Adtalem Global Education,,us_sec_company,0445855872eb960fa0dbf6a4049dc1ee,us_sec_company__0445855872eb960fa0dbf6a4049dc1ee
adtran,7aaef1a322cf553939b7b22c9f59b170,ADTRAN,Other,"Huntsville, AL, USA",34.7303688,-86.5861037,AAEntity,ADTRAN,,us_sec_company,f5214b57c05726bc04f11c8925b47a80,us_sec_company__f5214b57c05726bc04f11c8925b47a80
advance auto parts,ed08dbd0692173ac9a5c41ccafe27878,Advance Auto Parts,Tier 2,"Raleigh, NC, USA",35.7795897,-78.6381787,Diplomat,Advance Auto Parts,,us_sec_company,5728ca8db0b7f2af5b2cd8e4b55cd220,us_sec_company__5728ca8db0b7f2af5b2cd8e4b55cd220
advance publications,d7687a14f8ce222fc304a29797d136c4,Advance Publications,Tier 2,"New York, NY, USA",40.7127753,-74.0059728,Exec,Advance Publications,,us_sec_company,33b143668e6b24dab13d09e75263a5dc,us_sec_company__33b143668e6b24dab13d09e75263a5dc
advanced disposal services,ed1a41ae16ce572aaa9a3884329d4912,Advanced Disposal Services,Other,"Ponte Vedra, FL, USA",30.2400058,-81.3852595,ForeignMinistry,Advanced Disposal Services,,us_sec_company,14aa22fd478c15b988289a5dc472e645,us_sec_company__14aa22fd478c15b988289a5dc472e645
advanced drainage systems,1e8728300b0ee59d7fc9c401967809a6,Advanced Drainage Systems,Other,"Hilliard, OH, USA",40.0333961,-83.1582451,Person,Advanced Drainage Systems,,us_sec_company,bf273b61c99fe6b12c17a48e78848c1f,us_sec_company__bf273b61c99fe6b12c17a48e78848c1f
advanced emissions solutions,298e7da903beb29ca759bdc0c121d8e7,Advanced Emissions Solutions,Other,"Highlands Ranch, CO, USA",39.5480789,-104.9739333,CompanyKeyword,Advanced Emissions Solutions,,us_sec_company,774694d75864ddda4a7824ee06bcb749,us_sec_company__774694d75864ddda4a7824ee06bcb749
advanced energy industries,1d6bad58be5cf0e94c0c5e0ad499da49,Advanced Energy Industries,Other,"Fort Collins, CO, USA",40.5852602,-105.084423,ForeignMinistry,Advanced Energy Industries,,us_sec_company,006d82902a67bdc4baa4d21bdbf5c815,us_sec_company__006d82902a67bdc4baa4d21bdbf5c815
advanced micro devices,0a35837255a92fa6950dd8c35bf2eede,Advanced Micro Devices,Other,"Santa Clara, CA, USA",37.3541079,-121.9552356,Wells,Advanced Micro Devices,,us_sec_company,20496494815e07c5e1d5155a9d3e376a,us_sec_company__20496494815e07c5e1d5155a9d3e376a
advansix,dafd8ec8fa1f15765c458a318504017e,AdvanSix,Other,"Parsippany, NJ, USA",40.8652865,-74.4173877,AAEntity,AdvanSix,,us_sec_company,70cbe34890e3370256ad6a744f41d49c,us_sec_company__70cbe34890e3370256ad6a744f41d49c
advaxis,f22557c0a965aee9391577eab896b1b7,Advaxis,Other,"Princeton, NJ, USA",40.3572976,-74.6672226,Wells,Advaxis,,us_sec_company,a83f0e68f99a3b0b77d805801f9202d9,us_sec_company__a83f0e68f99a3b0b77d805801f9202d9
adverum biotechnologies,7dc7ea2c55281002669b0dad7565e293,Adverum Biotechnologies,Other,"Menlo Park, CA, USA",37.4529598,-122.1817252,DiplomaticFacilities,Adverum Biotechnologies,,us_sec_company,4de2d903381a6075f2aaa39e77cd9bbb,us_sec_company__4de2d903381a6075f2aaa39e77cd9bbb
aecom,c57aa05854c32433f5c7c05412f6ea42,AECOM,Other,"Los Angeles, CA, USA",34.0522342,-118.2436849,Refinery,AECOM,,us_sec_company,baf28353873c206f3ff4bdfcfe5773bf,us_sec_company__baf28353873c206f3ff4bdfcfe5773bf
aegion corp,c036ca7722a8b120c640202e9d5e0b64,Aegion,Other,"St. Louis, MO, USA",38.6270025,-90.1994042,Legislator,Aegion,,us_sec_company,e4e928c11c37fa601951841d83760e18,us_sec_company__e4e928c11c37fa601951841d83760e18
aeglea biotherapeutics,b97438526ca85a7ffb5b91d9298b2359,Aeglea BioTherapeutics,Other,"Austin, TX, USA",30.267153,-97.7430608,AAEntity,Aeglea BioTherapeutics,,us_sec_company,3b272753b42957b3ee54d8a86f9ad254,us_sec_company__3b272753b42957b3ee54d8a86f9ad254
aegon nv,78b65ee23897039e759b1c3b1b21df06,Aegon N.V.,Other,"The Hague, Zuid-Holland, Netherlands",52.0704978,4.3006999,AAEntity,Aegon N.V.,,us_sec_company,2e750a9ed8933a8e2c317ba4f1b36eff,us_sec_company__2e750a9ed8933a8e2c317ba4f1b36eff
aehr test systems,e753eb3c58aca3c4e417b02ecfe5a285,Aehr Test Systems,Other,"Fremont, CA, USA",37.5485396,-121.988583,IndustryTerm,Aehr Test Systems,,us_sec_company,5cc714ec4c61e77dca70655ce36c344c,us_sec_company__5cc714ec4c61e77dca70655ce36c344c
aemetis,0d5c6ba0dc3142ab6a9807af4918f4f9,Aemetis,Other,"Cupertino, CA, USA",37.3229978,-122.0321823,Organization,Aemetis,,us_sec_company,6faf69469b78c4dc7042fb7553f02433,us_sec_company__6faf69469b78c4dc7042fb7553f02433
aercap holdings nv,a9bae3d8f0ce993b68b4c7239c22eb1e,AerCap Holdings N.V.,Other,"Dublin, Co. Dublin, Ireland",53.3498053,-6.2603097,LegislativeCommittee,AerCap Holdings N.V.,,us_sec_company,208f914c06f29658f4c78d385398f9f6,us_sec_company__208f914c06f29658f4c78d385398f9f6
aerie pharmaceuticals,31906416251531836137b52cce0447c7,Aerie Pharmaceuticals,Other,"Durham, NC, USA",35.9940329,-78.898619,LegislativeCommittee,Aerie Pharmaceuticals,,us_sec_company,384cfc971c1b360cbe8eae5156e77a82,us_sec_company__384cfc971c1b360cbe8eae5156e77a82
aerocentury,837e82a28625f64e0a26017f8da92abb,AeroCentury,Other,"Burlingame, CA, USA",37.5778696,-122.34809,ForeignMinister,AeroCentury,,us_sec_company,ff3e8f0a6397b583cfef745600341b82,us_sec_company__ff3e8f0a6397b583cfef745600341b82
aerojet rocketdyne holdings,defe1f87eae289b942b0e80006b2da54,Aerojet Rocketdyne Holdings,Other,"El Segundo, CA, USA",33.9191799,-118.4164652,Wells,Aerojet Rocketdyne Holdings,,us_sec_company,1dc8e4316580af018e2d61318dbb4927,us_sec_company__1dc8e4316580af018e2d61318dbb4927
