term,caption_name,Type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
philip s. kosnett,US Ambassador to Kosovo Kosnett,,,US Ambassador to Kosovo Kosnett,,entertainment_mentionee,9948fd97f58e02e584acb181b2d18915,entertainment_mentionee__9948fd97f58e02e584acb181b2d18915
alina romanowski,US Ambassador to Kuwait Romanowski,,,US Ambassador to Kuwait Romanowski,,entertainment_mentionee,5836b1b40cafc6c7507b39f92da23ff1,entertainment_mentionee__5836b1b40cafc6c7507b39f92da23ff1
donald lu,US Ambassador to Kyrgyzstan Lu,,,US Ambassador to Kyrgyzstan Lu,,entertainment_mentionee,8b4cec80491a34a162fd4b1747e8ee43,entertainment_mentionee__8b4cec80491a34a162fd4b1747e8ee43
peter haymond,US Ambassador to Laos Haymond,,,US Ambassador to Laos Haymond,,entertainment_mentionee,d7aff96841a732d143fe8960be7e55e9,entertainment_mentionee__d7aff96841a732d143fe8960be7e55e9
john carwile,US Ambassador to Latvia Carwile,,,US Ambassador to Latvia Carwile,,entertainment_mentionee,622dbc41e5ca1b1af86253c5b0211297,entertainment_mentionee__622dbc41e5ca1b1af86253c5b0211297
dorothy shea,US Ambassador to Lebanon Shea,,,US Ambassador to Lebanon Shea,,entertainment_mentionee,1f08d2b5600ddcd4797e0e0c91e1ced6,entertainment_mentionee__1f08d2b5600ddcd4797e0e0c91e1ced6
rebecca gonzales,US Ambassador to Lesotho Gonzales,,,US Ambassador to Lesotho Gonzales,,entertainment_mentionee,c422af4fbf310dad2c57fe96f6c6e5f8,entertainment_mentionee__c422af4fbf310dad2c57fe96f6c6e5f8
michael a. mccarthy,US Ambassador to Liberia McCarthy,,,US Ambassador to Liberia McCarthy,,entertainment_mentionee,1624c96d4d2bf965f31873e2cfe1265b,entertainment_mentionee__1624c96d4d2bf965f31873e2cfe1265b
richard norland,US Ambassador to Libya Norland,,,US Ambassador to Libya Norland,,entertainment_mentionee,c458e7320e3bf3f2d6d7957cf3f7a3a2,entertainment_mentionee__c458e7320e3bf3f2d6d7957cf3f7a3a2
eva weigold schultz,US Ambassador to Liechtenstein Weigold Schultz,,,US Ambassador to Liechtenstein Weigold Schultz,,entertainment_mentionee,beaf4fed8d6aa0cf537afd06fe926b8b,entertainment_mentionee__beaf4fed8d6aa0cf537afd06fe926b8b
robert s. gilchrist,US Ambassador to Lithuania Gilchrist,,,US Ambassador to Lithuania Gilchrist,,entertainment_mentionee,4191c44ad0d679c1b16d3b92aa2ef5a3,entertainment_mentionee__4191c44ad0d679c1b16d3b92aa2ef5a3
casey mace,US Ambassador to Luxembourg Mace,,,US Ambassador to Luxembourg Mace,,entertainment_mentionee,5c8d2ae68aa4260249eedec9dc29bf24,entertainment_mentionee__5c8d2ae68aa4260249eedec9dc29bf24
michael pelletier,US Ambassador to Comoros Pelletier,,,US Ambassador to Comoros Pelletier,,entertainment_mentionee,ddaa2fe52b27c8c7b63aa4eb71459134,entertainment_mentionee__ddaa2fe52b27c8c7b63aa4eb71459134
robert k. scott,US Ambassador to Malawi Scott,,,US Ambassador to Malawi Scott,,entertainment_mentionee,3910c1deecf56e1462869378250bf947,entertainment_mentionee__3910c1deecf56e1462869378250bf947
brian d. mcfeeters,US Ambassador to Malaysia McFeeters,,,US Ambassador to Malaysia McFeeters,,entertainment_mentionee,fda6ed12347e498d1763e63d85eca59c,entertainment_mentionee__fda6ed12347e498d1763e63d85eca59c
alaina teplitz,US Ambassador to Maldives Teplitz,,,US Ambassador to Maldives Teplitz,,entertainment_mentionee,45fb3c916371df3edf06088d5ff897ec,entertainment_mentionee__45fb3c916371df3edf06088d5ff897ec
dennis b. hankins,US Ambassador to Mali Hankins,,,US Ambassador to Mali Hankins,,entertainment_mentionee,38a7789a9618e0a822c1df749866a7db,entertainment_mentionee__38a7789a9618e0a822c1df749866a7db
mark a. schapiro,US Ambassador to Malta Schapiro,,,US Ambassador to Malta Schapiro,,entertainment_mentionee,815c5381958aff81080009e1a648b51e,entertainment_mentionee__815c5381958aff81080009e1a648b51e
roxanne cabral,US Ambassador to Marshall Islands Cabral,,,US Ambassador to Marshall Islands Cabral,,entertainment_mentionee,b0e9a2a18c363bcced3d0eb4267ac7fd,entertainment_mentionee__b0e9a2a18c363bcced3d0eb4267ac7fd
michael dodman,US Ambassador to Mauritania Dodman,,,US Ambassador to Mauritania Dodman,,entertainment_mentionee,279ea7e19676ea819fcd012370b949fc,entertainment_mentionee__279ea7e19676ea819fcd012370b949fc
judes e. debaere,US Ambassador to Mauritius DeBaere,,,US Ambassador to Mauritius DeBaere,,entertainment_mentionee,2baf7ef334b1872c2db3988570dacf8d,entertainment_mentionee__2baf7ef334b1872c2db3988570dacf8d
john s. creamer,US Ambassador to Mexico Creamer,,,US Ambassador to Mexico Creamer,,entertainment_mentionee,6fe6546b8841fc33002d46cd726fe7a2,entertainment_mentionee__6fe6546b8841fc33002d46cd726fe7a2
carmen cantor,US Ambassador to Micronesia Cantor,,,US Ambassador to Micronesia Cantor,,entertainment_mentionee,8918a66743b9c616ec86082b541477f4,entertainment_mentionee__8918a66743b9c616ec86082b541477f4
dereck j. hogan,US Ambassador to Moldova Hogan,,,US Ambassador to Moldova Hogan,,entertainment_mentionee,04218f8a9fb316a99d656b4c92698813,entertainment_mentionee__04218f8a9fb316a99d656b4c92698813
brian aggeler,US Ambassador to France Aggeler,,,US Ambassador to France Aggeler,,entertainment_mentionee,8615ed17550d226db23556145cbcd251,entertainment_mentionee__8615ed17550d226db23556145cbcd251
michael s. klecheski,US Ambassador to Mongolia Klecheski,,,US Ambassador to Mongolia Klecheski,,entertainment_mentionee,8b20559c19b6990449843a457951941c,entertainment_mentionee__8b20559c19b6990449843a457951941c
judy rising reinke,US Ambassador to Montenegro Rising Reinke,,,US Ambassador to Montenegro Rising Reinke,,entertainment_mentionee,1d97bee7f635cb0b1304cad077f7964d,entertainment_mentionee__1d97bee7f635cb0b1304cad077f7964d
david greene,US Ambassador to Morocco Greene,,,US Ambassador to Morocco Greene,,entertainment_mentionee,6ad1bdaf6ae0acdb7487a0663a6fb6aa,entertainment_mentionee__6ad1bdaf6ae0acdb7487a0663a6fb6aa
dennis walter hearne,US Ambassador to Mozambique Hearne,,,US Ambassador to Mozambique Hearne,,entertainment_mentionee,8465879e2f10c13caad3bd828ba2077c,entertainment_mentionee__8465879e2f10c13caad3bd828ba2077c
lisa a. johnson,US Ambassador to Namibia Johnson,,,US Ambassador to Namibia Johnson,,entertainment_mentionee,0c1f7b2c514a6c251af8f21df44d6877,entertainment_mentionee__0c1f7b2c514a6c251af8f21df44d6877
tony greubel,US Ambassador to Fiji Greubel,,,US Ambassador to Fiji Greubel,,entertainment_mentionee,86eb9bf597b1e04e32a0c20c0fd0ddb6,entertainment_mentionee__86eb9bf597b1e04e32a0c20c0fd0ddb6
randy w. berry,US Ambassador to Nepal Berry,,,US Ambassador to Nepal Berry,,entertainment_mentionee,0ca287d931bf1d307642d357f7c3fdae,entertainment_mentionee__0ca287d931bf1d307642d357f7c3fdae
marja verloop,US Ambassador to Netherlands Verloop,,,US Ambassador to Netherlands Verloop,,entertainment_mentionee,b14fec2a63e920913cacc247588a824e,entertainment_mentionee__b14fec2a63e920913cacc247588a824e
kevin covert,US Ambassador to New Zealand Covert,,,US Ambassador to New Zealand Covert,,entertainment_mentionee,81ff1cb34a99c702a3481573ce444721,entertainment_mentionee__81ff1cb34a99c702a3481573ce444721
kevin k. sullivan,US Ambassador to Nicaragua Sullivan,,,US Ambassador to Nicaragua Sullivan,,entertainment_mentionee,f40e670d22905311f5456f4404e241f9,entertainment_mentionee__f40e670d22905311f5456f4404e241f9
eric p. whitaker,US Ambassador to Niger Whitaker,,,US Ambassador to Niger Whitaker,,entertainment_mentionee,2495fb6cb2350a55a357056ef3f64d3e,entertainment_mentionee__2495fb6cb2350a55a357056ef3f64d3e
mary beth leonard,US Ambassador to Nigeria Leonard,,,US Ambassador to Nigeria Leonard,,entertainment_mentionee,46e378e3ed7bd9665800fab196a5c325,entertainment_mentionee__46e378e3ed7bd9665800fab196a5c325
kate marie byrnes,US Ambassador to North Macedonia Byrnes,,,US Ambassador to North Macedonia Byrnes,,entertainment_mentionee,d10691b6549bdcbaf893c9adcb9299c2,entertainment_mentionee__d10691b6549bdcbaf893c9adcb9299c2
richard riley,US Ambassador to Norway Riley,,,US Ambassador to Norway Riley,,entertainment_mentionee,b385c18d605e74adeb8d337ac0217b3e,entertainment_mentionee__b385c18d605e74adeb8d337ac0217b3e
leslie tsou,US Ambassador to Oman Tsou,,,US Ambassador to Oman Tsou,,entertainment_mentionee,338557047aa5ca427b979089bdd43243,entertainment_mentionee__338557047aa5ca427b979089bdd43243
paul w. jones,US Ambassador to Pakistan Jones,,,US Ambassador to Pakistan Jones,,entertainment_mentionee,639cb93fe83af78539938ab5a2996bbf,entertainment_mentionee__639cb93fe83af78539938ab5a2996bbf
john hennessey-niland,US Ambassador to Palau Hennessey-Niland,,,US Ambassador to Palau Hennessey-Niland,,entertainment_mentionee,4ed88149b00a9ec2e2091907482a1f98,entertainment_mentionee__4ed88149b00a9ec2e2091907482a1f98
stewart tuttle,US Ambassador to Panama Tuttle,,,US Ambassador to Panama Tuttle,,entertainment_mentionee,dce8716d0b898bbe216307e07a7b1ff1,entertainment_mentionee__dce8716d0b898bbe216307e07a7b1ff1
erin elizabeth mckee,US Ambassador to Papua New Guinea McKee,,,US Ambassador to Papua New Guinea McKee,,entertainment_mentionee,646d8fd9de4c4494c69438800a8d0323,entertainment_mentionee__646d8fd9de4c4494c69438800a8d0323
joseph salazar,US Ambassador to Paraguay Salazar,,,US Ambassador to Paraguay Salazar,,entertainment_mentionee,98aa810f3c78b000196068ec1177489c,entertainment_mentionee__98aa810f3c78b000196068ec1177489c
lisa d. kenna,US Ambassador to Peru Kenna,,,US Ambassador to Peru Kenna,,entertainment_mentionee,b3786d15f58f39fced28d5cbed3e9e76,entertainment_mentionee__b3786d15f58f39fced28d5cbed3e9e76
john c. law,US Ambassador to Philippines Law,,,US Ambassador to Philippines Law,,entertainment_mentionee,81e25a96747c16dfa98a81ff7638d6ca,entertainment_mentionee__81e25a96747c16dfa98a81ff7638d6ca
b. bix aliu,US Ambassador to Poland Aliu,,,US Ambassador to Poland Aliu,,entertainment_mentionee,2025faa121f482ffd368fdee2da50563,entertainment_mentionee__2025faa121f482ffd368fdee2da50563
kristin m. kane,US Ambassador to Portugal Kane,,,US Ambassador to Portugal Kane,,entertainment_mentionee,cfd34a9094e592ff2ac15317069730b8,entertainment_mentionee__cfd34a9094e592ff2ac15317069730b8
greta c. holtz,US Ambassador to Qatar Holtz,,,US Ambassador to Qatar Holtz,,entertainment_mentionee,af861a9270e79b905f2b145d6fcaba6b,entertainment_mentionee__af861a9270e79b905f2b145d6fcaba6b
david muniz,US Ambassador to Romania Muniz,,,US Ambassador to Romania Muniz,,entertainment_mentionee,536c09bf5e58c177bd39aad688a950d3,entertainment_mentionee__536c09bf5e58c177bd39aad688a950d3
john j. sullivan,US Ambassador to Russia Sullivan,,,US Ambassador to Russia Sullivan,,entertainment_mentionee,64da5692ce96ca20c8fd5cfe15e79d91,entertainment_mentionee__64da5692ce96ca20c8fd5cfe15e79d91
peter h. vrooman,US Ambassador to Rwanda Vrooman,,,US Ambassador to Rwanda Vrooman,,entertainment_mentionee,022402c3bf0f9a36076087bc16680205,entertainment_mentionee__022402c3bf0f9a36076087bc16680205
linda swartz taglialatela,US Ambassador to Antigua and Barbuda Swartz Taglialatela,,,US Ambassador to Antigua and Barbuda Swartz Taglialatela,,entertainment_mentionee,8b67e8d642ceae57104e52a8b3fb49b6,entertainment_mentionee__8b67e8d642ceae57104e52a8b3fb49b6
linda swartz taglialatela,US Ambassador to Antigua and Barbuda Swartz Taglialatela,,,US Ambassador to Antigua and Barbuda Swartz Taglialatela,,entertainment_mentionee,8b67e8d642ceae57104e52a8b3fb49b6,entertainment_mentionee__8b67e8d642ceae57104e52a8b3fb49b6
linda swartz taglialatela,US Ambassador to Antigua and Barbuda Swartz Taglialatela,,,US Ambassador to Antigua and Barbuda Swartz Taglialatela,,entertainment_mentionee,8b67e8d642ceae57104e52a8b3fb49b6,entertainment_mentionee__8b67e8d642ceae57104e52a8b3fb49b6
kevin covert,US Ambassador to New Zealand Covert,,,US Ambassador to New Zealand Covert,,entertainment_mentionee,81ff1cb34a99c702a3481573ce444721,entertainment_mentionee__81ff1cb34a99c702a3481573ce444721
thomas d. smitham,US Ambassador to Italy Smitham,,,US Ambassador to Italy Smitham,,entertainment_mentionee,d02ddbc395eabe36eef50e5ff6d3c629,entertainment_mentionee__d02ddbc395eabe36eef50e5ff6d3c629
robert e. whitehead,US Ambassador to Sao Tome and Príncipe Whitehead,,,US Ambassador to Sao Tome and Príncipe Whitehead,,entertainment_mentionee,f159d810eaaafc2400bb637ab9fbd064,entertainment_mentionee__f159d810eaaafc2400bb637ab9fbd064
martina strong,US Ambassador to Saudi Arabia Strong,,,US Ambassador to Saudi Arabia Strong,,entertainment_mentionee,f3867b0f1d884d471ac1ec73ba47efde,entertainment_mentionee__f3867b0f1d884d471ac1ec73ba47efde
tulinabo s. mushingi,US Ambassador to Guinea-Bissau Mushingi,,,US Ambassador to Guinea-Bissau Mushingi,,entertainment_mentionee,edb07645b69a807b2a1fe35481c8092c,entertainment_mentionee__edb07645b69a807b2a1fe35481c8092c
anthony godfrey,US Ambassador to Serbia Godfrey,,,US Ambassador to Serbia Godfrey,,entertainment_mentionee,5847f25f485b7e6b9f4f33a9c18d00b4,entertainment_mentionee__5847f25f485b7e6b9f4f33a9c18d00b4
judes e. debaere,US Ambassador to Mauritius DeBaere,,,US Ambassador to Mauritius DeBaere,,entertainment_mentionee,2baf7ef334b1872c2db3988570dacf8d,entertainment_mentionee__2baf7ef334b1872c2db3988570dacf8d
maria brewer,US Ambassador to Sierra Leone Brewer,,,US Ambassador to Sierra Leone Brewer,,entertainment_mentionee,b1cc8172cbc568e34cde39f647da655f,entertainment_mentionee__b1cc8172cbc568e34cde39f647da655f
rafik mansour,US Ambassador to Singapore Mansour,,,US Ambassador to Singapore Mansour,,entertainment_mentionee,35e497271ad1c78f057dc00efc8e420a,entertainment_mentionee__35e497271ad1c78f057dc00efc8e420a
bridget a. brink,US Ambassador to Slovakia Brink,,,US Ambassador to Slovakia Brink,,entertainment_mentionee,f3bf228c55c1486276899b051c4bac5e,entertainment_mentionee__f3bf228c55c1486276899b051c4bac5e
susan k. falatko,US Ambassador to Slovenia Falatko,,,US Ambassador to Slovenia Falatko,,entertainment_mentionee,4d69df9e246fa5f4f36311f983e8efac,entertainment_mentionee__4d69df9e246fa5f4f36311f983e8efac
erin elizabeth mckee,US Ambassador to Papua New Guinea McKee,,,US Ambassador to Papua New Guinea McKee,,entertainment_mentionee,646d8fd9de4c4494c69438800a8d0323,entertainment_mentionee__646d8fd9de4c4494c69438800a8d0323
donald y. yamamoto,US Ambassador to Somalia Yamamoto,,,US Ambassador to Somalia Yamamoto,,entertainment_mentionee,6db68e62fd08d69c3df0f3dda1ece352,entertainment_mentionee__6db68e62fd08d69c3df0f3dda1ece352
john groarke,US Ambassador to South Africa Groarke,,,US Ambassador to South Africa Groarke,,entertainment_mentionee,32655efec084c43ec4f65406da27b310,entertainment_mentionee__32655efec084c43ec4f65406da27b310
robert g. rapson,US Ambassador to South Korea Rapson,,,US Ambassador to South Korea Rapson,,entertainment_mentionee,560bc26f356eeec3de4640d54378f96a,entertainment_mentionee__560bc26f356eeec3de4640d54378f96a
jon f. danilowicz,US Ambassador to South Sudan Danilowicz,,,US Ambassador to South Sudan Danilowicz,,entertainment_mentionee,9858d7fb7b5925f188232d3806bca294,entertainment_mentionee__9858d7fb7b5925f188232d3806bca294
conrad tribble,US Ambassador to Andorra Tribble,,,US Ambassador to Andorra Tribble,,entertainment_mentionee,092f2911e7053f5edd991a0fd5ebfa82,entertainment_mentionee__092f2911e7053f5edd991a0fd5ebfa82
alaina teplitz,US Ambassador to Maldives Teplitz,,,US Ambassador to Maldives Teplitz,,entertainment_mentionee,45fb3c916371df3edf06088d5ff897ec,entertainment_mentionee__45fb3c916371df3edf06088d5ff897ec
brian w. shukan,US Ambassador to Sudan Shukan,,,US Ambassador to Sudan Shukan,,entertainment_mentionee,be149a53d080900657787f9250717be3,entertainment_mentionee__be149a53d080900657787f9250717be3
karen l. williams,US Ambassador to Suriname Williams,,,US Ambassador to Suriname Williams,,entertainment_mentionee,456673ba613024d8dd0042ce1fcb94a7,entertainment_mentionee__456673ba613024d8dd0042ce1fcb94a7
pamela m. tremont,US Ambassador to Sweden Tremont,,,US Ambassador to Sweden Tremont,,entertainment_mentionee,a9752edbf4d88bcc8d1a6b5b74e1a636,entertainment_mentionee__a9752edbf4d88bcc8d1a6b5b74e1a636
eva weigold schultz,US Ambassador to Liechtenstein Weigold Schultz,,,US Ambassador to Liechtenstein Weigold Schultz,,entertainment_mentionee,beaf4fed8d6aa0cf537afd06fe926b8b,entertainment_mentionee__beaf4fed8d6aa0cf537afd06fe926b8b
joel rayburn,US Ambassador to Syria Rayburn,,,US Ambassador to Syria Rayburn,,entertainment_mentionee,da4e301fed3e5d85af343c8a0ee1db1f,entertainment_mentionee__da4e301fed3e5d85af343c8a0ee1db1f
john m. pommersheim,US Ambassador to Tajikistan Pommersheim,,,US Ambassador to Tajikistan Pommersheim,,entertainment_mentionee,b6abf0646bd520d24418e84378a4fad1,entertainment_mentionee__b6abf0646bd520d24418e84378a4fad1
don j. wright,US Ambassador to Tanzania Wright,,,US Ambassador to Tanzania Wright,,entertainment_mentionee,ba1915cd19f079af9d16fbf592a9a4e5,entertainment_mentionee__ba1915cd19f079af9d16fbf592a9a4e5
michael heath,US Ambassador to Thailand Heath,,,US Ambassador to Thailand Heath,,entertainment_mentionee,98f9d974b3a5303a72f0e4ee5d51dfd4,entertainment_mentionee__98f9d974b3a5303a72f0e4ee5d51dfd4
eric stromayer,US Ambassador to Togo Stromayer,,,US Ambassador to Togo Stromayer,,entertainment_mentionee,58ad3d34747f960fec3a45d57104d85c,entertainment_mentionee__58ad3d34747f960fec3a45d57104d85c
tony greubel,US Ambassador to Fiji Greubel,,,US Ambassador to Fiji Greubel,,entertainment_mentionee,86eb9bf597b1e04e32a0c20c0fd0ddb6,entertainment_mentionee__86eb9bf597b1e04e32a0c20c0fd0ddb6
shante moore,US Ambassador to Trinidad and Tobago Moore,,,US Ambassador to Trinidad and Tobago Moore,,entertainment_mentionee,510aed467c0fda1acf44165905382423,entertainment_mentionee__510aed467c0fda1acf44165905382423
donald blome,US Ambassador to Tunisia Blome,,,US Ambassador to Tunisia Blome,,entertainment_mentionee,1ca691ebcd11fb252e78524851789c16,entertainment_mentionee__1ca691ebcd11fb252e78524851789c16
david m. satterfield,US Ambassador to Turkey Satterfield,,,US Ambassador to Turkey Satterfield,,entertainment_mentionee,8809d27b3c7540383da75c0bcac9df91,entertainment_mentionee__8809d27b3c7540383da75c0bcac9df91
matthew klimow,US Ambassador to Turkmenistan Klimow,,,US Ambassador to Turkmenistan Klimow,,entertainment_mentionee,1c0cf7f0c0929dbdfbae8ea9dcd9d4bb,entertainment_mentionee__1c0cf7f0c0929dbdfbae8ea9dcd9d4bb
tony greubel,US Ambassador to Fiji Greubel,,,US Ambassador to Fiji Greubel,,entertainment_mentionee,86eb9bf597b1e04e32a0c20c0fd0ddb6,entertainment_mentionee__86eb9bf597b1e04e32a0c20c0fd0ddb6
natalie e. brown,US Ambassador to Uganda Brown,,,US Ambassador to Uganda Brown,,entertainment_mentionee,a84858025b3ee2466d8cf08d5cc685ed,entertainment_mentionee__a84858025b3ee2466d8cf08d5cc685ed
kristina kvien,US Ambassador to Ukraine Kvien,,,US Ambassador to Ukraine Kvien,,entertainment_mentionee,e9e1ffdde9bde5f476981e49ab0d4977,entertainment_mentionee__e9e1ffdde9bde5f476981e49ab0d4977
sean murphy,US Ambassador to United Arab Emirates Murphy,,,US Ambassador to United Arab Emirates Murphy,,entertainment_mentionee,5f99b76a87c136ca716942b468e66f41,entertainment_mentionee__5f99b76a87c136ca716942b468e66f41
yael lempert,US Ambassador to United Kingdom Lempert,,,US Ambassador to United Kingdom Lempert,,entertainment_mentionee,c885118cb72017a48c06c6fdfda24d01,entertainment_mentionee__c885118cb72017a48c06c6fdfda24d01
jennifer savage,US Ambassador to Uruguay Savage,,,US Ambassador to Uruguay Savage,,entertainment_mentionee,18924086760e61c3680017ffd8c21724,entertainment_mentionee__18924086760e61c3680017ffd8c21724
daniel n. rosenblum,US Ambassador to Uzbekistan Rosenblum,,,US Ambassador to Uzbekistan Rosenblum,,entertainment_mentionee,056298cb78e3ceb073e6059d6e3dd4a6,entertainment_mentionee__056298cb78e3ceb073e6059d6e3dd4a6
erin elizabeth mckee,US Ambassador to Papua New Guinea McKee,,,US Ambassador to Papua New Guinea McKee,,entertainment_mentionee,646d8fd9de4c4494c69438800a8d0323,entertainment_mentionee__646d8fd9de4c4494c69438800a8d0323
james b. story,US Ambassador to Venezuela Story,,,US Ambassador to Venezuela Story,,entertainment_mentionee,1f49799ac8db038da832419cc39d7c60,entertainment_mentionee__1f49799ac8db038da832419cc39d7c60
daniel j. kritenbrink,US Ambassador to Vietnam Kritenbrink,,,US Ambassador to Vietnam Kritenbrink,,entertainment_mentionee,a1fd9b1cde25fa65dc70ef1845ccbd78,entertainment_mentionee__a1fd9b1cde25fa65dc70ef1845ccbd78
christopher p. henzel,US Ambassador to Yemen Henzel,,,US Ambassador to Yemen Henzel,,entertainment_mentionee,d02de97e4d390457d0559e0dc23dba40,entertainment_mentionee__d02de97e4d390457d0559e0dc23dba40
david j. young,US Ambassador to Zambia Young,,,US Ambassador to Zambia Young,,entertainment_mentionee,41e347d67c4f793c579748f9a3114015,entertainment_mentionee__41e347d67c4f793c579748f9a3114015
brian a. nichols,US Ambassador to Zimbabwe Nichols,,,US Ambassador to Zimbabwe Nichols,,entertainment_mentionee,67df486ab3dd3b5ab8c3f743c99b37d2,entertainment_mentionee__67df486ab3dd3b5ab8c3f743c99b37d2
crimea,Crimea,,,Crimea,,entertainment_mentionee,b9a8f4b7edbf02e5ca758e49b15a146b,entertainment_mentionee__b9a8f4b7edbf02e5ca758e49b15a146b
kashmir,Jammu and Kashmir,,,Jammu and Kashmir,,entertainment_mentionee,0b5853af814efb504db07f5bf0ed8d84,entertainment_mentionee__0b5853af814efb504db07f5bf0ed8d84
natuna islands,"Natuna Regency, Indonesia",,,"Natuna Regency, Indonesia",,entertainment_mentionee,a2db2b46b305e33578b7775da17bcf33,entertainment_mentionee__a2db2b46b305e33578b7775da17bcf33
west bank,West Bank,,,West Bank,,entertainment_mentionee,1b36d45482cb3e53f858ca4896f24a24,entertainment_mentionee__1b36d45482cb3e53f858ca4896f24a24
golan heights,Golan Heights,,,Golan Heights,,entertainment_mentionee,a128652bb4bfa04b3855c00bfdc81fa9,entertainment_mentionee__a128652bb4bfa04b3855c00bfdc81fa9
gaza,Gaza Strip,,,Gaza Strip,,entertainment_mentionee,b9d2a1ed115acf668547fe3c0d37e39f,entertainment_mentionee__b9d2a1ed115acf668547fe3c0d37e39f
kuril islands,Kuril Islands,,,Kuril Islands,,entertainment_mentionee,7435bf421860a6a8ffc49d7be29aff89,entertainment_mentionee__7435bf421860a6a8ffc49d7be29aff89
nagorno-karabakh,Nagorno-Karabakh,,,Nagorno-Karabakh,,entertainment_mentionee,a51f908a6214d9f2fb96f8d49e2e377d,entertainment_mentionee__a51f908a6214d9f2fb96f8d49e2e377d
somaliland,Somaliland,,,Somaliland,,entertainment_mentionee,bd9f92992678e083a8a4d2c52de297a7,entertainment_mentionee__bd9f92992678e083a8a4d2c52de297a7
taiwan,Taiwan,,,Taiwan,,entertainment_mentionee,551fe18ef47d4e6e9d943b9a68ada21d,entertainment_mentionee__551fe18ef47d4e6e9d943b9a68ada21d
western sahara,Western Sahara,,,Western Sahara,,entertainment_mentionee,1bdb61bdbf5bc9a2cdc5db037ab610e0,entertainment_mentionee__1bdb61bdbf5bc9a2cdc5db037ab610e0
tigray,Tigray,,,Tigray,,entertainment_mentionee,fde01d7cfb45dbee4c518d79dcea57c0,entertainment_mentionee__fde01d7cfb45dbee4c518d79dcea57c0
ambalat,"Ambalat, Indonesia",,,"Ambalat, Indonesia",,entertainment_mentionee,69fc53118cc1fcdca778683cd1639180,entertainment_mentionee__69fc53118cc1fcdca778683cd1639180
burkina faso,Burkina Faso,,,Burkina Faso,,entertainment_mentionee,28814f84db09b59b95f863b9c143c3a9,entertainment_mentionee__28814f84db09b59b95f863b9c143c3a9
ladakh,"Ladakh, India",,,"Ladakh, India",,entertainment_mentionee,e2911ec08a39e867d5b0f6389b1fec78,entertainment_mentionee__e2911ec08a39e867d5b0f6389b1fec78
kalapani,Kalapani territory,,,Kalapani territory,,entertainment_mentionee,88274a6fecc3b0394181abfd2cc4ef20,entertainment_mentionee__88274a6fecc3b0394181abfd2cc4ef20
spratly islands,Spratly Islands,,,Spratly Islands,,entertainment_mentionee,fc31964c102959785e58040426fa2e97,entertainment_mentionee__fc31964c102959785e58040426fa2e97
paracel islands,Paracel Islands,,,Paracel Islands,,entertainment_mentionee,3da7b4e44e5d0fa60be6b1d9ba1d8c35,entertainment_mentionee__3da7b4e44e5d0fa60be6b1d9ba1d8c35
hala'ib triangle,Halaib Triangle,,,Halaib Triangle,,entertainment_mentionee,5bcbc928885f14f58b6a3cfb7a5e2851,entertainment_mentionee__5bcbc928885f14f58b6a3cfb7a5e2851
falkland islands,Falkland Islands,,,Falkland Islands,,entertainment_mentionee,1ea2b56dea4f434aa77e6369deef076a,entertainment_mentionee__1ea2b56dea4f434aa77e6369deef076a
shatt al-arab,"Shatt al-Arab district, Basra Governorate, Iraq",,,"Shatt al-Arab district, Basra Governorate, Iraq",,entertainment_mentionee,366a77e21e3e5dabb5e4aa1cae45f8eb,entertainment_mentionee__366a77e21e3e5dabb5e4aa1cae45f8eb
gibraltar,Gibraltar,,,Gibraltar,,entertainment_mentionee,672566a43483aa8212cb365658600b99,entertainment_mentionee__672566a43483aa8212cb365658600b99
doklam and pasamiung regions of bhutan,"Doklam, Bhutan",,,"Doklam, Bhutan",,entertainment_mentionee,294a0d8454c74bd371af36be2991a762,entertainment_mentionee__294a0d8454c74bd371af36be2991a762
cyprus,Cyprus,,,Cyprus,,entertainment_mentionee,ea2ba3f8011e19e3101ce65fdcefbcc4,entertainment_mentionee__ea2ba3f8011e19e3101ce65fdcefbcc4
dumeria islands,Dumeria Islands,,,Dumeria Islands,,entertainment_mentionee,8c5e933301bb55c82f62a9477949cf18,entertainment_mentionee__8c5e933301bb55c82f62a9477949cf18
makhmur district,"Makhmur, Iraq",,,"Makhmur, Iraq",,entertainment_mentionee,215f0635ff1965610074b5d1266c3bab,entertainment_mentionee__215f0635ff1965610074b5d1266c3bab
republic of kosovo,Kosovo,,,Kosovo,,entertainment_mentionee,40e5f4acf26ffcc0490082c11aad831f,entertainment_mentionee__40e5f4acf26ffcc0490082c11aad831f
timor leste,Timor-Leste,,,Timor-Leste,,entertainment_mentionee,0a25bbf25b60f1908597d7d60e26696e,entertainment_mentionee__0a25bbf25b60f1908597d7d60e26696e
senkaku islands,Senkaku Islands,,,Senkaku Islands,,entertainment_mentionee,622f0d8e662d3b0a107d7490eab511a1,entertainment_mentionee__622f0d8e662d3b0a107d7490eab511a1
ryuku islands,Ryuku Islands,,,Ryuku Islands,,entertainment_mentionee,16cf7cf6a1970be3fab154fd2bd94b7a,entertainment_mentionee__16cf7cf6a1970be3fab154fd2bd94b7a
socotra,"Socotra, Yemen",,,"Socotra, Yemen",,entertainment_mentionee,b860b29b15512814d2e8cc9f03a6d1f5,entertainment_mentionee__b860b29b15512814d2e8cc9f03a6d1f5
